epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4948972165584564,0.007738275919109583,0.11286579817533493,0.005262470804154873,0.12586656212806702,,0.9086068272590637
,,0.001,61,,,,,,,
1,,,121,0.4939989447593689,0.006604643072932959,2.013900302699767e-05,6.484831101261079e-05,0.006689629517495632,,0.8519046902656555
,,0.001,122,,,,,,,
2,,,182,0.49399662017822266,0.008601244539022446,1.0315955023543211e-07,3.0857627280056477e-05,0.008632205426692963,,0.8639594316482544
,,0.001,183,,,,,,,
3,,,243,0.49399662017822266,0.007674891036003828,4.813373166712154e-08,1.9532682927092537e-05,0.007694472558796406,,0.9226714968681335
,,0.001,244,,,,,,,
4,,,304,0.49399662017822266,0.007482769899070263,1.1936309363136388e-07,1.7122556528192945e-05,0.007500012870877981,,0.9009116888046265
,,0.001,305,,,,,,,
5,,,365,0.49399662017822266,0.00844838097691536,2.778583052531758e-07,3.883045064867474e-05,0.008487488143146038,,0.9315924644470215
,,0.001,366,,,,,,,
6,,,426,0.49399662017822266,0.007066676858812571,1.1030775226572587e-07,1.5071494999574497e-05,0.007081859279423952,,0.9444105625152588
,,0.001,427,,,,,,,
7,,,487,0.49399662017822266,0.009056070819497108,7.47600452655206e-08,8.800020623311866e-06,0.00906494539231062,,0.9487181901931763
,,0.001,488,,,,,,,
8,,,548,0.49399662017822266,0.006845576222985983,8.049003952237399e-08,8.347444236278534e-06,0.006854003760963678,,0.9457091093063354
,,0.001,549,,,,,,,
9,,,609,0.49399662017822266,0.007294864859431982,4.758339500199327e-08,7.068678769428516e-06,0.0073019820265471935,,0.936201274394989
,,0.001,610,,,,,,,
10,,,670,0.49399662017822266,0.009421508759260178,6.489951687171924e-08,6.786550329707097e-06,0.009428360499441624,,0.9633352160453796
,,0.001,671,,,,,,,
11,,,731,0.49399662017822266,0.008632010780274868,7.566821125237766e-08,9.959558155969717e-06,0.0086420439183712,,0.943257212638855
,,0.001,732,,,,,,,
12,,,792,0.49399662017822266,0.006056881044059992,1.8377207311459642e-07,1.2213086847623345e-05,0.006069278344511986,,0.9200090765953064
,,0.001,793,,,,,,,
13,,,853,0.49399662017822266,0.007806443143635988,1.5534901365299447e-07,9.119378773903009e-06,0.007815716788172722,,0.9478996396064758
,,0.001,854,,,,,,,
14,,,914,0.49399662017822266,0.006958660203963518,1.757921097578219e-07,7.2812986218195874e-06,0.006966118700802326,,0.9490736126899719
,,0.001,915,,,,,,,
15,,,975,0.49399662017822266,0.007746463175863028,1.210672451179562e-07,1.1715000255207997e-05,0.007758300751447678,,0.945274293422699
,,0.001,976,,,,,,,
