epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4822293519973755,0.007816432043910027,0.03716658055782318,0.0026887848507612944,0.04767180234193802,,0.9363024830818176
,,0.001,61,,,,,,,
1,,,121,0.46631988883018494,0.0056291907094419,2.8255703000468202e-05,0.00021373289928305894,0.005871178116649389,,0.3703904449939728
,,0.001,122,,,,,,,
2,,,182,0.4562807083129883,0.005369291175156832,2.2862337573315017e-05,4.9318899982608855e-05,0.00544147239997983,,0.27279770374298096
,,0.001,183,,,,,,,
3,,,243,0.44792115688323975,0.006730902008712292,2.3900895030237734e-05,0.00014034344349056482,0.006895146332681179,,0.928633987903595
,,0.001,244,,,,,,,
4,,,304,0.42978233098983765,0.006527094170451164,2.3957427401910536e-05,0.00017452251631766558,0.006725575774908066,,0.5055229067802429
,,0.001,305,,,,,,,
5,,,365,0.4077831506729126,0.006126409862190485,2.0176577891106717e-05,2.1934414689894766e-05,0.006168521009385586,,0.5300900936126709
,,0.001,366,,,,,,,
6,,,426,0.40270793437957764,0.007590904366225004,1.6865311408764683e-05,7.108195859473199e-05,0.007678852416574955,,0.4420967698097229
,,0.001,427,,,,,,,
7,,,487,0.38944846391677856,0.006410851608961821,1.6422376575064845e-05,4.706745676230639e-05,0.006474340800195932,,0.7779344916343689
,,0.001,488,,,,,,,
8,,,548,0.38110652565956116,0.0051307654939591885,1.4544259101967327e-05,1.7219761502929032e-05,0.005162530113011599,,0.40713247656822205
,,0.001,549,,,,,,,
9,,,609,0.3763234317302704,0.005801118444651365,1.0517107511986978e-05,2.0655759726651013e-05,0.005832292605191469,,0.3075653612613678
,,0.001,610,,,,,,,
10,,,670,0.3709045946598053,0.005059984978288412,8.667180736665614e-06,1.1351643479429185e-05,0.0050800032913684845,,0.47909966111183167
,,0.001,671,,,,,,,
11,,,731,0.36703723669052124,0.004057213198393583,6.974164989514975e-06,8.227244506997522e-06,0.0040724147111177444,,0.4495225250720978
,,0.001,732,,,,,,,
12,,,792,0.3624504804611206,0.005463979206979275,6.531096914841328e-06,2.022606167884078e-05,0.005490736570209265,,0.5921204686164856
,,0.001,793,,,,,,,
13,,,853,0.35515886545181274,0.004918863531202078,5.579497610597173e-06,1.4089409887674265e-05,0.004938532132655382,,0.35860440135002136
,,0.001,854,,,,,,,
14,,,914,0.3499644100666046,0.005264127627015114,4.637793608708307e-06,6.894313628436066e-06,0.005275660660117865,,0.4292226731777191
,,0.001,915,,,,,,,
15,,,975,0.3461077809333801,0.005473284982144833,4.289007392799249e-06,1.2490875633375254e-05,0.005490065086632967,,0.4848578870296478
,,0.001,976,,,,,,,
16,,,1036,0.34240713715553284,0.004443175159394741,3.818947789113736e-06,8.641967724543065e-06,0.004455638583749533,,0.32200273871421814
,,0.001,1037,,,,,,,
17,,,1097,0.33950942754745483,0.005241171922534704,3.3564078876224812e-06,5.110337951919064e-06,0.0052496385760605335,,0.3638805150985718
,,0.001,1098,,,,,,,
18,,,1158,0.3361078202724457,0.004591166041791439,3.25482506013941e-06,1.0621184628689662e-05,0.004605042282491922,,0.39562293887138367
,,0.001,1159,,,,,,,
19,,,1219,0.33273062109947205,0.005067483987659216,2.7884079827344976e-06,6.535153261211235e-06,0.005076806992292404,,0.5424911975860596
,,0.001,1220,,,,,,,
20,,,1280,0.3295859694480896,0.004815469495952129,2.609875309644849e-06,7.543558240286075e-06,0.004825623240321875,,0.5168480277061462
,,0.001,1281,,,,,,,
21,,,1341,0.3264315724372864,0.004820924252271652,2.4304902126459638e-06,5.506210982275661e-06,0.004828861448913813,,0.4455566704273224
,,0.001,1342,,,,,,,
22,,,1402,0.3235708773136139,0.00554239796474576,2.349996520933928e-06,1.03551165011595e-05,0.00555510213598609,,0.33542904257774353
,,0.001,1403,,,,,,,
23,,,1463,0.32002586126327515,0.004819662310183048,2.0861409666395048e-06,6.1834884945710655e-06,0.004827933385968208,,0.5162161588668823
,,0.001,1464,,,,,,,
24,,,1524,0.3183945417404175,0.0038642173167318106,1.8596934978631907e-06,3.0564524422516115e-06,0.0038691333029419184,,0.5202524065971375
,,0.001,1525,,,,,,,
25,,,1585,0.31622689962387085,0.005725932773202658,1.927630137288361e-06,5.795668130303966e-06,0.005733654834330082,,0.6909949779510498
,,0.001,1586,,,,,,,
26,,,1646,0.3107856214046478,0.004231762606650591,1.8445090290697408e-06,1.4245470993046183e-05,0.004247853998094797,,0.5279941558837891
,,0.001,1647,,,,,,,
27,,,1707,0.30653077363967896,0.004965664353221655,1.6735990584493265e-06,5.8902633099933155e-06,0.0049732280895113945,,0.48074811697006226
,,0.001,1708,,,,,,,
28,,,1768,0.30373066663742065,0.0048491074703633785,1.6429021343355998e-06,5.444168436952168e-06,0.004856193903833628,,0.43523305654525757
,,0.001,1769,,,,,,,
29,,,1829,0.30162546038627625,0.005984357558190823,1.773136091287597e-06,9.48259184951894e-06,0.005995611660182476,,0.4967205822467804
,,0.001,1830,,,,,,,
30,,,1890,0.2997607886791229,0.004973226692527533,1.9420697299210588e-06,4.112973783776397e-06,0.004979281686246395,,0.39625272154808044
,,0.001,1891,,,,,,,
31,,,1951,0.2979910969734192,0.004857099149376154,2.47437719735899e-06,6.064324225008022e-06,0.004865638446062803,,0.44122642278671265
,,0.001,1952,,,,,,,
32,,,2012,0.297044575214386,0.005371943116188049,5.395314929046435e-06,7.665589691896457e-06,0.005385005380958319,,0.6598452925682068
,,0.001,2013,,,,,,,
33,,,2073,0.2936483323574066,0.0035286596976220608,1.485572283854708e-05,2.2857821022626013e-05,0.003566373372450471,,0.5589384436607361
,,0.001,2074,,,,,,,
34,,,2134,0.2872906029224396,0.0027281285729259253,1.988911935768556e-05,3.461025335127488e-05,0.002782627707347274,,0.4030741751194
,,0.001,2135,,,,,,,
35,,,2195,0.2826366126537323,0.003816913580521941,1.0866096090467181e-05,2.1773534172098152e-05,0.0038495531771332026,,0.3075324594974518
,,0.001,2196,,,,,,,
36,,,2256,0.27794167399406433,0.002496818546205759,1.4714453755004797e-05,2.4328717699972913e-05,0.0025358619168400764,,0.43796518445014954
,,0.001,2257,,,,,,,
37,,,2317,0.2822049856185913,0.0015260332729667425,1.669385892455466e-05,3.0381495889741927e-05,0.0015731083694845438,,0.20782695710659027
,,0.001,2318,,,,,,,
38,,,2378,0.2892054319381714,0.002962957601994276,1.0432319868414197e-05,3.117516826023348e-05,0.0030045651365071535,,0.2498566210269928
,,0.001,2379,,,,,,,
39,,,2439,0.2885496914386749,0.0019098235061392188,1.1895021089003421e-05,4.1473937017144635e-05,0.0019631925970315933,,0.42637479305267334
,,0.001,2440,,,,,,,
40,,,2500,0.28109315037727356,0.003028160659596324,7.823548912710976e-06,7.169073796831071e-05,0.003107675351202488,,0.3471209704875946
,,0.001,2501,,,,,,,
41,,,2561,0.25659191608428955,0.0018767823930829763,6.808964826632291e-06,5.741522181779146e-05,0.0019410065142437816,,0.35949817299842834
,,0.001,2562,,,,,,,
42,,,2622,0.2526191473007202,0.0009951547253876925,8.016911124286707e-06,4.581161556416191e-05,0.0010489830747246742,,0.28441137075424194
,,0.001,2623,,,,,,,
43,,,2683,0.27172112464904785,0.0007224259315989912,8.518677532265428e-06,5.7185014156857505e-05,0.0007881296332925558,,0.37700268626213074
,,0.001,2684,,,,,,,
44,,,2744,0.2778143882751465,0.0009032959933392704,8.686381079314742e-06,7.784331683069468e-05,0.0009898255812004209,,0.2199414074420929
,,0.001,2745,,,,,,,
45,,,2805,0.26265665888786316,0.0025477088056504726,6.442906396841863e-06,5.955458618700504e-05,0.0026137062814086676,,0.404269278049469
,,0.001,2806,,,,,,,
46,,,2866,0.25843122601509094,0.002495201537385583,5.8385267038829625e-06,4.3232979805907235e-05,0.002544273156672716,,0.2611081600189209
,,0.001,2867,,,,,,,
47,,,2927,0.2616763710975647,0.0007826965302228928,6.46256785330479e-06,5.322076322045177e-05,0.0008423796971328557,,0.3622584640979767
,,0.001,2928,,,,,,,
48,,,2988,0.2738229036331177,0.0007082652300596237,6.68291249894537e-06,4.0021728636929765e-05,0.0007549698930233717,,0.22378003597259521
,,0.001,2989,,,,,,,
49,,,3049,0.27714088559150696,0.0010538456263020635,5.371312454371946e-06,0.00011477091175038368,0.001173987751826644,,0.5615261793136597
,,0.001,3050,,,,,,,
50,,,3110,0.247934952378273,0.000754045438952744,5.1264892135804985e-06,5.0477759941713884e-05,0.0008096497040241957,0.004988313186913729,0.3960610628128052
,,0.001,3111,,,,,,,
51,,,3171,0.2606829106807709,0.0005623122560791671,5.057155703980243e-06,3.550481051206589e-05,0.0006028743227943778,0.004900604020804167,0.2859261631965637
,,0.001,3172,,,,,,,
52,,,3232,0.2841123640537262,0.0019338172860443592,5.884842266823398e-06,4.2221465264447033e-05,0.001981923822313547,0.004842230584472418,0.6300675868988037
,,0.001,3233,,,,,,,
53,,,3293,0.3008657991886139,0.002713848138228059,2.833363623722107e-06,3.457739148871042e-05,0.0027512579690665007,0.004800410941243172,0.33570408821105957
,,0.001,3294,,,,,,,
54,,,3354,0.29357755184173584,0.000912940944544971,3.015200491063297e-06,3.658603964140639e-05,0.000952542235609144,0.0047234538942575455,0.2260846048593521
,,0.001,3355,,,,,,,
55,,,3415,0.2979266047477722,0.00041927819256670773,4.940757207805291e-06,3.7062847695779055e-05,0.00046128188841976225,0.004638210404664278,0.2999041676521301
,,0.001,3416,,,,,,,
56,,,3476,0.3143353760242462,0.000501401664223522,4.67152949568117e-06,8.954526856541634e-05,0.0005956184468232095,0.00455735856667161,0.3665570020675659
,,0.001,3477,,,,,,,
57,,,3537,0.2967304587364197,0.0013971917796880007,3.787116838793736e-06,5.1085120503557846e-05,0.0014520639088004827,0.004495252389460802,0.23069149255752563
,,0.001,3538,,,,,,,
58,,,3598,0.3019559383392334,0.0011247277725487947,3.83109227186651e-06,4.2435291106812656e-05,0.0011709941318258643,0.00442876759916544,0.1395087093114853
,,0.001,3599,,,,,,,
