epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4745544195175171,0.011759965680539608,0.05789697542786598,0.005506063811480999,0.07516299188137054,,0.8921078443527222
,,0.001,61,,,,,,,
1,,,121,0.4555962383747101,0.010091794654726982,2.9305001589818858e-05,0.0005502552958205342,0.010671357624232769,,0.7185462713241577
,,0.001,122,,,,,,,
2,,,182,0.44713935256004333,0.006021684035658836,2.5237204681616277e-05,0.000108012231066823,0.006154933013021946,,0.5198779106140137
,,0.001,183,,,,,,,
3,,,243,0.4396224319934845,0.007541213650256395,2.0691966710728593e-05,0.00020433624740689993,0.007766244001686573,,0.5013875365257263
,,0.001,244,,,,,,,
4,,,304,0.4319528639316559,0.006206306628882885,2.626270907057915e-05,4.143785190535709e-05,0.006274005863815546,,0.4100757837295532
,,0.001,305,,,,,,,
5,,,365,0.4254153370857239,0.005238926038146019,2.1221978386165574e-05,3.2226376788457856e-05,0.005292373709380627,,0.38829484581947327
,,0.001,366,,,,,,,
6,,,426,0.41740602254867554,0.006511212792247534,1.6005678844521753e-05,4.6970995754236355e-05,0.0065741888247430325,,0.5768888592720032
,,0.001,427,,,,,,,
7,,,487,0.4114817976951599,0.006382931023836136,1.4663251022284385e-05,4.4785570935346186e-05,0.006442377343773842,,0.47317808866500854
,,0.001,488,,,,,,,
8,,,548,0.40555042028427124,0.005957836285233498,1.2406308997015003e-05,1.8340448150411248e-05,0.005988582503050566,,0.37512850761413574
,,0.001,549,,,,,,,
9,,,609,0.39963462948799133,0.0049173845909535885,8.513347893313039e-06,1.5604140571667813e-05,0.0049415030516684055,,0.3711686432361603
,,0.001,610,,,,,,,
10,,,670,0.3950188457965851,0.005607285536825657,6.441312052629655e-06,1.2051545127178542e-05,0.005625778343528509,,0.3534974157810211
,,0.001,671,,,,,,,
11,,,731,0.3897377848625183,0.006007465533912182,5.07102049596142e-06,1.0646628652466461e-05,0.0060231806710362434,,0.39660006761550903
,,0.001,732,,,,,,,
12,,,792,0.38551613688468933,0.005177569575607777,4.158321644354146e-06,2.119050986948423e-05,0.005202918779104948,,0.3647054433822632
,,0.001,793,,,,,,,
13,,,853,0.38012751936912537,0.005567141808569431,3.4469478578103008e-06,1.945506301126443e-05,0.005590044427663088,,0.5239051580429077
,,0.001,854,,,,,,,
14,,,914,0.3755933344364166,0.00542939780279994,2.8695208129647654e-06,8.75644400366582e-06,0.0054410225711762905,,0.3609541058540344
,,0.001,915,,,,,,,
15,,,975,0.37113845348358154,0.0051388489082455635,2.2940189410292078e-06,7.409882073261542e-06,0.005148553755134344,,0.3358064591884613
,,0.001,976,,,,,,,
16,,,1036,0.3656432032585144,0.006536912638694048,2.0786465029232204e-06,2.021046748268418e-05,0.00655920198187232,,0.3421671688556671
,,0.001,1037,,,,,,,
17,,,1097,0.3595481216907501,0.005970730446279049,1.8819271190295694e-06,9.906986633723136e-06,0.005982518661767244,,0.37798094749450684
,,0.001,1098,,,,,,,
18,,,1158,0.3555819094181061,0.006417797412723303,1.43264037433255e-06,8.803954187897034e-06,0.006428034044802189,,0.34503817558288574
,,0.001,1159,,,,,,,
19,,,1219,0.3500887453556061,0.005870766006410122,1.5352970876847394e-06,1.220894955622498e-05,0.0058845109306275845,,0.4158727824687958
