epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,11,0.4954511523246765,0.08403477817773819,0.1809689700603485,0.028630128130316734,0.2936338782310486,,0.7372469902038574
,,0.001,12,,,,,,,
1,,,23,0.48586007952690125,0.01235873345285654,0.05909590795636177,0.011021547019481659,0.0824761837720871,,0.600918710231781
,,0.001,24,,,,,,,
2,,,35,0.4751870036125183,0.01200814824551344,0.004864501766860485,0.0008481383556500077,0.017720790579915047,,0.6650709509849548
,,0.001,36,,,,,,,
3,,,47,0.4681108891963959,0.011675246059894562,0.00012333151244092733,7.891430868767202e-05,0.01187749020755291,,0.7231911420822144
,,0.001,48,,,,,,,
4,,,59,0.46516239643096924,0.014839278534054756,2.7115615012007765e-05,0.00015286127745639533,0.015019259415566921,,0.6198922395706177
,,0.001,60,,,,,,,
5,,,71,0.4622054100036621,0.008072815835475922,2.0822482838411815e-05,0.00013495305029209703,0.00822859164327383,,0.5185983180999756
,,0.001,72,,,,,,,
6,,,83,0.4598711431026459,0.006686738226562738,1.6986768969218247e-05,7.217994425445795e-05,0.006775904446840286,,0.507286012172699
,,0.001,84,,,,,,,
7,,,95,0.45751577615737915,0.01632530800998211,1.997665094677359e-05,0.0004840731271542609,0.01682935655117035,,0.47145164012908936
,,0.001,96,,,,,,,
8,,,107,0.4553113579750061,0.009201355278491974,1.3920639503339771e-05,0.00010769972868729383,0.00932297483086586,,0.5744866728782654
,,0.001,108,,,,,,,
9,,,119,0.45464596152305603,0.010186722502112389,2.048245551122818e-05,8.355337922694162e-05,0.01029075775295496,,0.5763535499572754
,,0.001,120,,,,,,,
10,,,131,0.45104560256004333,0.006672737188637257,2.8574844691320322e-05,0.00011288456880720332,0.006814196240156889,,0.4468168616294861
,,0.001,132,,,,,,,
11,,,143,0.4473801851272583,0.0070931995287537575,2.4834673240548e-05,5.232973853708245e-05,0.007170363795012236,,0.40964582562446594
,,0.001,144,,,,,,,
12,,,155,0.4460913836956024,0.0065133171156048775,2.3679862351855263e-05,3.0302027880679816e-05,0.006567299831658602,,0.4072496294975281
,,0.001,156,,,,,,,
13,,,167,0.44478166103363037,0.006625552196055651,2.107815453200601e-05,2.4943892640294507e-05,0.006671574432402849,,0.3844375014305115
,,0.001,168,,,,,,,
14,,,179,0.4433315694332123,0.0061742449179291725,1.8263668607687578e-05,1.9088512999587692e-05,0.0062115974724292755,,0.3715812563896179
,,0.001,180,,,,,,,
15,,,191,0.4422789216041565,0.006716991309076548,1.5864612578297965e-05,1.381016681989422e-05,0.006746665108948946,,0.3723883330821991
,,0.001,192,,,,,,,
16,,,203,0.4409761428833008,0.008005652576684952,1.6284418961731717e-05,4.8108566261362284e-05,0.008070046082139015,,0.397506982088089
,,0.001,204,,,,,,,
17,,,215,0.43932321667671204,0.007603111676871777,1.1093095963587984e-05,5.050968684372492e-05,0.007664714008569717,,0.461708664894104
,,0.001,216,,,,,,,
18,,,227,0.4387996196746826,0.006515876390039921,1.4082240340940189e-05,4.277340121916495e-05,0.006572732236236334,,0.41983988881111145
,,0.001,228,,,,,,,
19,,,239,0.4359099268913269,0.006392643321305513,1.530004919914063e-05,4.710177017841488e-05,0.006455045193433762,,0.3750509023666382
,,0.001,240,,,,,,,
20,,,251,0.4341318905353546,0.0067053590901196,1.4878656656946987e-05,3.131338962703012e-05,0.006751550827175379,,0.37363794445991516
,,0.001,252,,,,,,,
21,,,263,0.4323975443840027,0.007591658271849155,1.5022573279566132e-05,3.430101787671447e-05,0.0076409815810620785,,0.3596231937408447
,,0.001,264,,,,,,,
22,,,275,0.43107590079307556,0.00575146684423089,1.2125865396228619e-05,1.823689672164619e-05,0.005781829822808504,,0.36882153153419495
,,0.001,276,,,,,,,
23,,,287,0.43021318316459656,0.006701224949210882,1.1095928130089305e-05,1.8820277546183206e-05,0.006731141358613968,,0.35092872381210327
,,0.001,288,,,,,,,
24,,,299,0.42866599559783936,0.008090639486908913,9.45984083955409e-06,1.6346473785233684e-05,0.008116445504128933,,0.34385842084884644
,,0.001,300,,,,,,,
25,,,311,0.4274292588233948,0.007281670346856117,1.054242966347374e-05,5.3722807933809236e-05,0.007345935795456171,,0.37184271216392517
,,0.001,312,,,,,,,
26,,,323,0.42533203959465027,0.006397932302206755,1.2075203812855761e-05,3.933450352633372e-05,0.006449342705309391,,0.3920023441314697
,,0.001,324,,,,,,,
27,,,335,0.4245506525039673,0.006967811845242977,1.0623116395436227e-05,4.0420527511741966e-05,0.007018855307251215,,0.35375654697418213
,,0.001,336,,,,,,,
28,,,347,0.42159655690193176,0.006477411836385727,9.486676390224602e-06,3.066288263653405e-05,0.0065175616182386875,,0.3327958285808563
,,0.001,348,,,,,,,
29,,,359,0.4203789234161377,0.007178091444075108,9.062984645424876e-06,2.8989306883886456e-05,0.007216142024844885,,0.34640249609947205
,,0.001,360,,,,,,,
30,,,371,0.41860660910606384,0.006783889606595039,7.322454166569514e-06,2.1383959392551333e-05,0.006812595296651125,,0.3833554983139038
,,0.001,372,,,,,,,
31,,,383,0.4178016483783722,0.005959884263575077,7.957041816553101e-06,1.9151500964653678e-05,0.00598699226975441,,0.360198438167572
,,0.001,384,,,,,,,
32,,,395,0.41535526514053345,0.006504451390355825,8.549219273845665e-06,3.2438241760246456e-05,0.00654543936252594,,0.35018855333328247
,,0.001,396,,,,,,,
33,,,407,0.4138798415660858,0.006722102873027325,6.602723715332104e-06,2.757719084911514e-05,0.006756282877177,,0.4329744875431061
,,0.001,408,,,,,,,
34,,,419,0.41300609707832336,0.007409150246530771,7.383095635304926e-06,2.9562515919678845e-05,0.00744609534740448,,0.33680260181427
,,0.001,420,,,,,,,
35,,,431,0.4103391468524933,0.006915650330483913,6.773836958018364e-06,1.6729354683775455e-05,0.006939153652638197,,0.3274456560611725
,,0.001,432,,,,,,,
36,,,443,0.40927842259407043,0.007742580957710743,6.566552201547893e-06,1.2877547305834014e-05,0.007762025110423565,,0.347551554441452
,,0.001,444,,,,,,,
37,,,455,0.4083347022533417,0.006727125030010939,6.104751264501829e-06,1.5608049579896033e-05,0.006748838350176811,,0.3249797224998474
,,0.001,456,,,,,,,
38,,,467,0.40652409195899963,0.006649678107351065,1.171099575003609e-05,1.6502777725690976e-05,0.006677891593426466,,0.3085015118122101
,,0.001,468,,,,,,,
39,,,479,0.4054967761039734,0.00609772140160203,1.2203806363686454e-05,1.0991493581968825e-05,0.006120916455984116,,0.338512122631073
,,0.001,480,,,,,,,
40,,,491,0.40512773394584656,0.006445854436606169,5.36874949830235e-06,1.48823055496905e-05,0.006466106045991182,,0.36727479100227356
,,0.001,492,,,,,,,
41,,,503,0.4033910036087036,0.006640719249844551,3.895360805472592e-06,2.107661566697061e-05,0.006665690802037716,,0.30504387617111206
,,0.001,504,,,,,,,
42,,,515,0.4018400013446808,0.007306427229195833,3.7844531561859185e-06,3.392148209968582e-05,0.007344133220613003,,0.30489158630371094
,,0.001,516,,,,,,,
43,,,527,0.4010157883167267,0.0056830053217709064,3.4486452022974845e-06,1.3188249795348383e-05,0.00569964200258255,,0.33560144901275635
,,0.001,528,,,,,,,
44,,,539,0.39974409341812134,0.005875410977751017,3.139845375699224e-06,2.5152103262371384e-05,0.005903702694922686,,0.30352118611335754
,,0.001,540,,,,,,,
45,,,551,0.3984142541885376,0.007103636395186186,3.1540200780000305e-06,7.556210039183497e-05,0.007182352244853973,,0.30122870206832886
,,0.001,552,,,,,,,
46,,,563,0.39749792218208313,0.006283423397690058,3.0598500870837597e-06,4.3978678149869666e-05,0.006330461706966162,,0.3078435957431793
,,0.001,564,,,,,,,
47,,,575,0.3961976170539856,0.007261485792696476,2.9443626772263087e-06,2.744986159086693e-05,0.007291880436241627,,0.32323122024536133
,,0.001,576,,,,,,,
48,,,587,0.39532220363616943,0.004796992056071758,7.457729680027114e-06,2.7089987270301208e-05,0.004831539001315832,,0.29809728264808655
,,0.001,588,,,,,,,
49,,,599,0.3934221863746643,0.004565611016005278,1.7461747120250948e-05,4.579744199872948e-05,0.004628869704902172,,0.286085844039917
,,0.001,600,,,,,,,
50,,,611,0.3923299014568329,0.003716130508109927,3.7688812881242484e-05,4.007902680314146e-05,0.0037938980385661125,0.014596142806112766,0.29872068762779236
,,0.001,612,,,,,,,
51,,,623,0.39149197936058044,0.019472559913992882,0.0006965746870264411,0.0006006328039802611,0.020769765600562096,0.014719614759087563,0.4944527745246887
,,0.001,624,,,,,,,
52,,,635,0.39092686772346497,0.009940202347934246,0.0036820219829678535,0.001180156017653644,0.014802380464971066,0.014721269719302654,0.40126723051071167
,,0.001,636,,,,,,,
53,,,647,0.3894544839859009,0.008158423937857151,0.0021644537337124348,0.0008597702835686505,0.011182648129761219,0.01465049758553505,0.38458451628685
,,0.001,648,,,,,,,
54,,,659,0.38796061277389526,0.0055556995794177055,0.000796364271081984,0.00031620226218365133,0.00666826730594039,0.014490853063762188,0.38216233253479004
,,0.001,660,,,,,,,
55,,,671,0.3867608904838562,0.004246565978974104,0.00011601544247241691,8.033808990148827e-05,0.004442919977009296,0.01428989414125681,0.4662005305290222
,,0.001,672,,,,,,,
56,,,683,0.3853134214878082,0.007417571265250444,0.00011018220538971946,0.0002473875065334141,0.007775141391903162,0.01415959931910038,0.4049989879131317
,,0.001,684,,,,,,,
57,,,695,0.3836401700973511,0.004962285980582237,0.000256827479461208,0.0001254250091733411,0.0053445384837687016,0.01398329809308052,0.4118179380893707
,,0.001,696,,,,,,,
58,,,707,0.38201841711997986,0.005366798490285873,4.665607775677927e-05,0.00025569446734152734,0.005669149104505777,0.0138170151039958,0.44854506850242615
,,0.001,708,,,,,,,
59,,,719,0.3798162639141083,0.004249757621437311,5.4736763559048995e-05,8.309795521199703e-05,0.00438759196549654,0.013628426939249039,0.4053291380405426
,,0.001,720,,,,,,,
60,,,731,0.3777669072151184,0.003735365578904748,2.4741373636061326e-05,4.756616908707656e-05,0.00380767323076725,0.013432011939585209,0.40088534355163574
,,0.001,732,,,,,,,
