epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4937000274658203,0.009406497702002525,0.15265895426273346,0.0035915214102715254,0.16565696895122528,,0.9047621488571167
,,0.001,61,,,,,,,
1,,,121,0.4653971195220947,0.005858447402715683,0.0008964521111920476,0.00113831483758986,0.007893214002251625,,0.4329507350921631
,,0.001,122,,,,,,,
2,,,182,0.4317355751991272,0.010586170479655266,0.0003512600378599018,0.0010501384967938066,0.011987567879259586,,0.5583961606025696
,,0.001,183,,,,,,,
3,,,243,0.4013693630695343,0.008082257583737373,0.00018235384777653962,0.0010090911528095603,0.009273701347410679,,0.6366032361984253
,,0.001,244,,,,,,,
4,,,304,0.3752865791320801,0.006497629918158054,0.0001685212628217414,0.0012592464918270707,0.007925395853817463,,0.43487364053726196
,,0.001,305,,,,,,,
5,,,365,0.3609265089035034,0.007340723183006048,9.448471246287227e-05,0.0005225497297942638,0.00795775931328535,,0.47552379965782166
,,0.001,366,,,,,,,
6,,,426,0.3536120355129242,0.004800173919647932,0.0001257281401194632,0.0002808600547723472,0.005206762813031673,,0.4760834872722626
,,0.001,427,,,,,,,
7,,,487,0.3430101275444031,0.006320685148239136,8.517962851328775e-05,0.0001874883018899709,0.006593354046344757,,0.4200621545314789
,,0.001,488,,,,,,,
8,,,548,0.32481861114501953,0.0054831975139677525,4.8816851631272584e-05,0.0003055521519854665,0.005837565753608942,,0.6158172488212585
,,0.001,549,,,,,,,
9,,,609,0.3089686632156372,0.006890122313052416,4.474615343497135e-05,0.0002901886182371527,0.007225056178867817,,0.5571451187133789
,,0.001,610,,,,,,,
10,,,670,0.2912466526031494,0.006791208405047655,5.7581550208851695e-05,0.0008570386562496424,0.007705828174948692,,0.679291307926178
,,0.001,671,,,,,,,
11,,,731,0.28255394101142883,0.00800411868840456,7.265405292855576e-05,0.0002330297138541937,0.008309800177812576,,0.49412381649017334
,,0.001,732,,,,,,,
12,,,792,0.27478960156440735,0.006987194996327162,0.00026630121283233166,0.000319459883030504,0.007572954520583153,,0.4625125527381897
,,0.001,793,,,,,,,
13,,,853,0.2648749351501465,0.006180595140904188,7.962572271935642e-05,0.0005966077442280948,0.0068568279966712,,0.7392217516899109
,,0.001,854,,,,,,,
14,,,914,0.25830593705177307,0.0047494033351540565,8.135678399412427e-06,0.00023038274957798421,0.004987921565771103,,0.5578335523605347
,,0.001,915,,,,,,,
15,,,975,0.24788005650043488,0.010346375405788422,1.808429260563571e-06,0.0002161815791623667,0.010564365424215794,,0.4706144630908966
,,0.001,976,,,,,,,
16,,,1036,0.23511457443237305,0.007446977775543928,2.7043372028856538e-05,0.00031625910196453333,0.007790279574692249,,0.6280628442764282
,,0.001,1037,,,,,,,
17,,,1097,0.22954228520393372,0.005695876199752092,8.749617700232193e-05,6.905944610480219e-05,0.005852431990206242,,0.4889615774154663
,,0.001,1098,,,,,,,
18,,,1158,0.22427505254745483,0.005634935572743416,2.8869733796454966e-05,2.6525953217060305e-05,0.0056903306394815445,,0.6213966012001038
,,0.001,1159,,,,,,,
19,,,1219,0.2225973755121231,0.004750017076730728,2.8856118660769425e-05,2.2817041099187918e-05,0.004801690112799406,,0.5290966033935547
,,0.001,1220,,,,,,,
20,,,1280,0.21455822885036469,0.006010225508362055,0.0004123035760130733,9.107789082918316e-05,0.006513606756925583,,0.6023873090744019
,,0.001,1281,,,,,,,
21,,,1341,0.21231402456760406,0.005950187332928181,0.00012232642620801926,3.0620682082371786e-05,0.006103135645389557,,0.5778770446777344
,,0.001,1342,,,,,,,
22,,,1402,0.21039067208766937,0.006807197351008654,0.0002948877227026969,2.689098437258508e-05,0.0071289753541350365,,0.6402332782745361
,,0.001,1403,,,,,,,
23,,,1463,0.2113393098115921,0.005781492684036493,3.866374390781857e-05,9.381492418469861e-05,0.005913971923291683,,0.6208142638206482
,,0.001,1464,,,,,,,
24,,,1524,0.20819896459579468,0.007469953037798405,6.724103150190786e-05,0.0001387783995596692,0.007675972767174244,,0.7839788198471069
,,0.001,1525,,,,,,,
25,,,1585,0.20311127603054047,0.0063268523663282394,3.8674559618812054e-05,0.00027343089459463954,0.006638957187533379,,0.48619312047958374
,,0.001,1586,,,,,,,
26,,,1646,0.19896478950977325,0.006532720755785704,1.3660410331794992e-05,0.00048620381858199835,0.007032585795968771,,0.7844691872596741
,,0.001,1647,,,,,,,
27,,,1707,0.18751586973667145,0.01120704784989357,8.168010936060455e-06,0.00028874792042188346,0.011503960937261581,,0.613318920135498
,,0.001,1708,,,,,,,
28,,,1768,0.18245550990104675,0.006479766685515642,1.509572484792443e-06,4.916956095257774e-05,0.006530445534735918,,0.6164202690124512
,,0.001,1769,,,,,,,
29,,,1829,0.18168479204177856,0.006071558687835932,1.6993817553156987e-05,1.4111918062553741e-05,0.006102662533521652,,0.7141472101211548
,,0.001,1830,,,,,,,
30,,,1890,0.1831808090209961,0.006454921327531338,0.0001773965486790985,3.4478347515687346e-05,0.006666795816272497,,0.6872444152832031
,,0.001,1891,,,,,,,
