,beta
0,5.033509e-01
1,4.956460e-01
2,4.896585e-01
3,4.864253e-01
4,4.825485e-01
5,4.817776e-01
6,4.799058e-01
7,4.792300e-01
8,4.775085e-01
9,4.767041e-01
10,4.743523e-01
11,4.725204e-01
12,4.716198e-01
13,4.701726e-01
14,4.685262e-01
15,4.656326e-01
16,4.636873e-01
17,4.601723e-01
18,4.581944e-01
19,4.563465e-01
20,4.548616e-01
21,4.500112e-01
22,4.460412e-01
23,4.376118e-01
24,4.358129e-01
25,4.306154e-01
26,4.270187e-01
27,4.248674e-01
28,4.213328e-01
29,4.204057e-01
30,4.175992e-01
31,4.158935e-01
32,4.119861e-01
33,4.092936e-01
34,4.065722e-01
35,4.044436e-01
36,4.035007e-01
37,4.016877e-01
38,4.004503e-01
39,3.977010e-01
40,3.966259e-01
41,3.955562e-01
42,3.944959e-01
43,3.923830e-01
44,3.916658e-01
45,3.905775e-01
46,3.872833e-01
47,3.856134e-01
48,3.839995e-01
49,3.827792e-01
50,3.810107e-01
51,3.797587e-01
52,3.781741e-01
53,3.771150e-01
54,3.755371e-01
55,3.730792e-01
56,3.712595e-01
57,3.697259e-01
58,3.687033e-01
59,3.660729e-01
60,3.635621e-01
61,3.619317e-01
62,3.591635e-01
63,3.581041e-01
64,3.542232e-01
65,3.513981e-01
66,3.494924e-01
67,3.469314e-01
68,3.451420e-01
69,3.443297e-01
70,3.417427e-01
71,3.404704e-01
72,3.383612e-01
73,3.370759e-01
74,3.359238e-01
75,3.338153e-01
76,3.327149e-01
77,3.318310e-01
78,3.302897e-01
79,3.296439e-01
80,3.280947e-01
81,3.268779e-01
82,3.258633e-01
83,3.247265e-01
84,3.239931e-01
85,3.227640e-01
86,3.220440e-01
87,3.209348e-01
88,3.202372e-01
89,3.189762e-01
90,3.183342e-01
91,3.175156e-01
92,3.166961e-01
93,3.158582e-01
94,3.151215e-01
95,3.143212e-01
96,3.138137e-01
97,3.126323e-01
98,3.124507e-01
99,3.116820e-01
100,3.104228e-01
101,3.095289e-01
102,3.086710e-01
103,3.084876e-01
104,3.077999e-01
105,3.068700e-01
106,3.060662e-01
107,3.058924e-01
108,3.056518e-01
109,3.050563e-01
110,3.042323e-01
111,3.039370e-01
112,3.035737e-01
113,3.027980e-01
114,3.020336e-01
115,3.017811e-01
116,3.014646e-01
117,3.013168e-01
118,3.011590e-01
119,3.003041e-01
120,3.003085e-01
121,3.000036e-01
122,2.997080e-01
123,2.991942e-01
124,2.994091e-01
125,2.990479e-01
126,2.994200e-01
127,2.994833e-01
128,2.994572e-01
129,2.999045e-01
130,2.998159e-01
131,3.000513e-01
132,2.997932e-01
133,2.992921e-01
134,2.998275e-01
135,2.994376e-01
136,2.995863e-01
137,2.994465e-01
138,2.995406e-01
139,2.987679e-01
140,2.989402e-01
141,2.989213e-01
142,2.996181e-01
143,2.999856e-01
144,3.005976e-01
145,3.014476e-01
146,3.016688e-01
147,3.016746e-01
148,3.019222e-01
149,3.021216e-01
150,3.028398e-01
151,3.040749e-01
152,3.044283e-01
153,3.052293e-01
154,3.055506e-01
155,3.062811e-01
156,3.055696e-01
157,3.049611e-01
158,3.057549e-01
159,3.057419e-01
160,3.059102e-01
161,3.059996e-01
162,3.050613e-01
163,3.041742e-01
164,3.049041e-01
165,3.044387e-01
166,3.053860e-01
167,3.055339e-01
168,3.058062e-01
169,3.061873e-01
170,3.069147e-01
171,3.070634e-01
172,3.076715e-01
173,3.079125e-01
174,3.086038e-01
175,3.092686e-01
176,3.104981e-01
177,3.109528e-01
178,3.127517e-01
179,3.131150e-01
180,3.136605e-01
181,3.126297e-01
182,3.126570e-01
183,3.125659e-01
184,3.127096e-01
185,3.132872e-01
186,3.143665e-01
187,3.159077e-01
188,3.165802e-01
