,beta,params,lr,re_s,re_i
0,4.850469e-01,9.743206e-01,1.000000e-03,5.646957e-01,9.970677e-01
1,4.780330e-01,3.582402e-01,1.000000e-03,9.129720e-01,9.953888e-01
2,4.690799e-01,2.789909e-01,1.000000e-03,4.021626e-01,8.726873e-01
3,4.651963e-01,1.544064e-01,1.000000e-03,4.380889e-01,8.343387e-01
4,4.564160e-01,2.133247e-01,1.000000e-03,4.184930e-01,9.032352e-01
5,4.500053e-01,3.314648e-01,1.000000e-03,4.153773e-01,8.055662e-01
6,4.422070e-01,2.951142e-01,1.000000e-03,4.160756e-01,8.505436e-01
7,4.343223e-01,2.064778e-01,1.000000e-03,3.573221e-01,8.952697e-01
8,4.229999e-01,4.355825e-01,1.000000e-03,4.796277e-01,1.014590e+00
9,4.138016e-01,3.256988e-01,1.000000e-03,4.329689e-01,8.215922e-01
10,4.039160e-01,2.474356e-01,1.000000e-03,3.929934e-01,9.359590e-01
11,3.906043e-01,3.073940e-01,1.000000e-03,3.529848e-01,9.763683e-01
12,3.807033e-01,3.527408e-01,1.000000e-03,4.576564e-01,8.528034e-01
13,3.726157e-01,2.246600e-01,1.000000e-03,3.529329e-01,1.001315e+00
14,3.582457e-01,4.069401e-01,1.000000e-03,3.315301e-01,8.174872e-01
15,3.532783e-01,2.847250e-01,1.000000e-03,3.590600e-01,8.848390e-01
16,3.508182e-01,5.050375e-01,1.000000e-03,3.916940e-01,8.762431e-01
17,3.371603e-01,3.392570e-01,1.000000e-03,4.341444e-01,8.349042e-01
18,3.280705e-01,2.455055e-01,1.000000e-03,6.538908e-01,9.793552e-01
19,3.185007e-01,2.110570e-01,1.000000e-03,3.746817e-01,1.493522e+00
20,3.075118e-01,5.528617e-01,1.000000e-03,4.804371e-01,9.621406e-01
21,2.901838e-01,5.392414e-01,1.000000e-03,3.935740e-01,9.998600e-01
22,2.863346e-01,2.564055e-01,1.000000e-03,4.770879e-01,8.540948e-01
23,2.738790e-01,2.935454e-01,1.000000e-03,3.810862e-01,1.001897e+00
24,2.676672e-01,1.864257e-01,1.000000e-03,4.018867e-01,9.534356e-01
25,2.672823e-01,3.916643e-01,1.000000e-03,5.292485e-01,8.255549e-01
26,2.619471e-01,2.232065e-01,1.000000e-03,4.680632e-01,1.000705e+00
27,2.604218e-01,2.703916e-01,1.000000e-03,4.565589e-01,9.639397e-01
28,2.563363e-01,2.808339e-01,1.000000e-03,5.463132e-01,9.806876e-01
29,2.496648e-01,3.059502e-01,1.000000e-03,6.130022e-01,8.212161e-01
30,2.431725e-01,4.980194e-01,1.000000e-03,4.226192e-01,9.990608e-01
31,2.521337e-01,4.430445e-01,1.000000e-03,5.400445e-01,8.451720e-01
32,2.525169e-01,3.050806e-01,1.000000e-03,4.530992e-01,9.889424e-01
33,2.540572e-01,2.613992e-01,1.000000e-03,4.988730e-01,8.285513e-01
34,2.533477e-01,3.574821e-01,1.000000e-03,4.737318e-01,8.537187e-01
35,2.496733e-01,3.153457e-01,1.000000e-03,4.851785e-01,1.014233e+00
36,2.464679e-01,4.498170e-01,1.000000e-03,6.024833e-01,8.206937e-01
37,2.443529e-01,2.054806e-01,1.000000e-03,4.772883e-01,8.109123e-01
38,2.423214e-01,1.674997e-01,1.000000e-03,4.749838e-01,7.945257e-01
39,2.376865e-01,3.455017e-01,1.000000e-03,4.142425e-01,9.872478e-01
40,2.308710e-01,2.943456e-01,1.000000e-03,4.350875e-01,6.585263e-01
41,2.300287e-01,4.602483e-01,1.000000e-03,4.893887e-01,8.434774e-01
42,2.477624e-01,9.164050e-01,1.000000e-03,8.189939e-01,9.445537e-01
43,2.457865e-01,3.090335e-01,1.000000e-03,5.019292e-01,8.169621e-01
44,2.414583e-01,1.550832e-01,1.000000e-03,5.122508e-01,8.612391e-01
45,2.399609e-01,1.517051e-01,1.000000e-03,5.407549e-01,8.369568e-01
46,2.354828e-01,1.833297e-01,1.000000e-03,5.389053e-01,8.267047e-01
47,2.293552e-01,5.374023e-01,1.000000e-03,6.147210e-01,8.947953e-01
48,2.260790e-01,5.396058e-01,1.000000e-03,5.611312e-01,9.172048e-01
49,2.198273e-01,2.198392e-01,1.000000e-03,3.969432e-01,7.727111e-01
50,2.148654e-01,3.511164e-01,1.000000e-03,5.968003e-01,7.429040e-01
51,2.115426e-01,2.391800e-01,1.000000e-03,4.532953e-01,5.523177e-01
52,2.116438e-01,4.649582e-01,1.000000e-03,3.832895e-01,8.788615e-01
53,2.323103e-01,4.478227e-01,1.000000e-03,5.016267e-01,9.071334e-01
54,2.353262e-01,4.278012e-01,1.000000e-03,4.704504e-01,6.855282e-01
55,2.317366e-01,3.896391e-01,1.000000e-03,5.850175e-01,5.063530e-01
56,2.192199e-01,5.034399e-01,1.000000e-03,4.396619e-01,9.509882e-01
57,2.408426e-01,5.032111e-01,1.000000e-03,6.338687e-01,9.544810e-01
58,2.368576e-01,1.940624e-01,1.000000e-03,4.315518e-01,8.319573e-01
59,2.366366e-01,1.266419e-01,1.000000e-03,4.872461e-01,8.304758e-01
60,2.362894e-01,1.313834e-01,1.000000e-03,4.834901e-01,8.850660e-01
61,2.273982e-01,2.161441e-01,1.000000e-03,5.120342e-01,1.000260e+00
62,2.212972e-01,1.393585e-01,1.000000e-03,4.598571e-01,8.284313e-01
63,2.261841e-01,9.655463e-02,1.000000e-03,5.345911e-01,7.978418e-01
64,2.248455e-01,1.053706e-01,1.000000e-03,4.834233e-01,8.028744e-01
65,2.313087e-01,1.860591e-01,1.000000e-03,4.667936e-01,8.074224e-01
66,2.297321e-01,1.083228e-01,1.000000e-03,4.192289e-01,7.759579e-01
67,2.331330e-01,1.272889e-01,1.000000e-03,4.681436e-01,8.488992e-01
68,2.284291e-01,4.341345e-01,1.000000e-03,4.102805e-01,8.018958e-01
69,2.320415e-01,3.306256e-01,1.000000e-03,3.871868e-01,9.797247e-01
70,2.450074e-01,5.921713e-01,1.000000e-03,4.309979e-01,8.654515e-01
71,2.507420e-01,2.997942e-01,1.000000e-03,5.669250e-01,8.606034e-01
72,2.458520e-01,3.065915e-01,1.000000e-03,4.578900e-01,7.536489e-01
73,2.379362e-01,3.138519e-01,1.000000e-03,4.303328e-01,7.789773e-01
74,2.280400e-01,3.047309e-01,1.000000e-03,3.415053e-01,5.936097e-01
75,2.302244e-01,2.325640e-01,1.000000e-03,5.267926e-01,4.724827e-01
76,2.212830e-01,2.893282e-01,1.000000e-03,4.600164e-01,6.156576e-01
77,2.128108e-01,2.553136e-01,1.000000e-03,5.558435e-01,8.053531e-01
78,2.080441e-01,2.470183e-01,1.000000e-03,5.181423e-01,6.171084e-01
79,1.981677e-01,1.402264e-01,1.000000e-03,4.220247e-01,5.097525e-01
80,2.041458e-01,1.155496e-01,1.000000e-03,4.428480e-01,2.552298e-01
81,2.032926e-01,1.289277e-01,1.000000e-03,3.503540e-01,5.145749e-01
82,2.106026e-01,8.446169e-02,1.000000e-03,4.514942e-01,2.632593e-01
83,2.131600e-01,1.968812e-01,1.000000e-03,4.565998e-01,7.973315e-01
84,2.093797e-01,1.291716e-01,1.000000e-03,4.446478e-01,2.070520e-01
85,2.076639e-01,5.055197e-02,1.000000e-03,4.607765e-01,3.288297e-01
86,2.133307e-01,1.276610e-01,1.000000e-03,4.146429e-01,2.687257e-01
87,2.203561e-01,1.167697e-01,1.000000e-03,3.786044e-01,1.518144e-01
88,2.218129e-01,7.912452e-02,1.000000e-03,4.134665e-01,3.790458e-01
89,2.190216e-01,7.340107e-01,1.000000e-03,4.539454e-01,1.001074e+00
90,2.341175e-01,8.861170e-01,1.000000e-03,5.142437e-01,8.482786e-01
91,2.438925e-01,3.646577e-01,1.000000e-03,5.848322e-01,8.559092e-01
92,2.383946e-01,2.034417e-01,1.000000e-03,4.480990e-01,8.156405e-01
93,2.396751e-01,2.831627e-01,1.000000e-03,4.697976e-01,9.049108e-01
94,2.371201e-01,3.234100e-01,1.000000e-03,4.359729e-01,6.754500e-01
95,2.645000e-01,1.073025e+00,1.000000e-03,5.054854e-01,8.575756e-01
96,2.558402e-01,3.331069e-01,1.000000e-03,5.174461e-01,8.444988e-01
97,2.495654e-01,2.901698e-01,1.000000e-03,4.232295e-01,7.991561e-01
98,2.390170e-01,3.074565e-01,1.000000e-03,4.296518e-01,5.878827e-01
99,2.304085e-01,2.507782e-01,1.000000e-03,4.279362e-01,3.245699e-01
100,2.228440e-01,1.348440e-01,1.000000e-03,3.060166e-01,5.105860e-01
101,2.219238e-01,1.143715e-01,1.000000e-03,3.613168e-01,2.599142e-01
102,2.211234e-01,1.116100e-01,1.000000e-03,2.687442e-01,5.501564e-01
103,2.232142e-01,4.518499e-01,1.000000e-03,3.905991e-01,5.394903e-01
104,2.201807e-01,4.776478e-01,1.000000e-03,3.077497e-01,4.973866e-01
105,2.151730e-01,6.894021e-01,1.000000e-03,4.659641e-01,3.656359e-01
106,2.089138e-01,2.186125e-01,1.000000e-03,4.367463e-01,2.499409e-01
107,2.075391e-01,2.204832e-01,1.000000e-03,3.350558e-01,6.882633e-01
108,2.061633e-01,4.159298e-01,1.000000e-03,5.742025e-01,8.519326e-01
109,2.016388e-01,4.041353e-01,1.000000e-03,4.388138e-01,1.804677e-01
110,2.019093e-01,1.042964e-01,1.000000e-03,4.516605e-01,2.782389e-01
111,2.010811e-01,1.531141e-01,1.000000e-03,5.702376e-01,6.562849e-01
112,1.961099e-01,1.928311e-01,1.000000e-03,3.672983e-01,4.620131e-01
113,1.983622e-01,8.960632e-02,1.000000e-03,3.945923e-01,1.252237e-01
114,2.067459e-01,1.004531e-01,1.000000e-03,4.200844e-01,3.934259e-01
115,2.011310e-01,2.897751e-01,1.000000e-03,3.959192e-01,5.830193e-01
116,1.965816e-01,2.892472e-01,1.000000e-03,3.333034e-01,5.763878e-01
117,1.991993e-01,3.200332e-01,1.000000e-03,3.377404e-01,6.463405e-01
118,2.036528e-01,1.960739e-01,1.000000e-03,4.209676e-01,6.964776e-01
119,2.074225e-01,1.235762e-01,1.000000e-03,3.637432e-01,3.794828e-01
120,2.114405e-01,9.683500e-02,1.000000e-03,4.432013e-01,2.906739e-01
121,2.160172e-01,8.166861e-02,1.000000e-03,3.573294e-01,3.491873e-01
122,2.228375e-01,8.880299e-02,1.000000e-03,3.274815e-01,1.899257e-01
123,2.315049e-01,1.293504e-01,1.000000e-03,2.836347e-01,4.860185e-01
124,2.378044e-01,1.290572e-01,1.000000e-03,2.716585e-01,7.741259e-01
125,2.417954e-01,1.299817e-01,1.000000e-03,3.010112e-01,9.501923e-02
126,2.493647e-01,9.924323e-02,1.000000e-03,2.443375e-01,3.964785e-01
127,2.549885e-01,9.087479e-02,1.000000e-03,3.028169e-01,5.252228e-02
