,weight_pde,L_pde,weight_ic,L_ic,weight_data,L_data,total_loss
0,,,,,,,6.367607e-01
1,,,,,,,2.093733e-01
2,,,,,,,7.441158e-02
3,,,,,,,1.776848e-02
4,,,,,,,1.401948e-02
5,,,,,,,1.067296e-02
6,,,,,,,1.180078e-02
7,,,,,,,8.981517e-03
8,,,,,,,9.497429e-03
9,,,,,,,1.079533e-02
10,,,,,,,8.759482e-03
11,,,,,,,8.783715e-03
12,,,,,,,8.094204e-03
13,,,,,,,8.846938e-03
14,,,,,,,1.013425e-02
15,,,,,,,8.461082e-03
16,,,,,,,8.961086e-03
17,,,,,,,8.402115e-03
18,,,,,,,1.031567e-02
19,,,,,,,8.111560e-03
20,,,,,,,8.340557e-03
21,,,,,,,1.132749e-02
22,,,,,,,1.088834e-02
23,,,,,,,1.057746e-02
24,,,,,,,8.567044e-03
25,,,,,,,9.759148e-03
26,,,,,,,8.949552e-03
27,,,,,,,8.797767e-03
28,,,,,,,1.021898e-02
29,,,,,,,7.768813e-03
30,,,,,,,7.579072e-03
31,,,,,,,1.079855e-02
32,,,,,,,7.955239e-03
33,,,,,,,8.635086e-03
34,,,,,,,8.192849e-03
35,,,,,,,6.935778e-03
36,,,,,,,9.718829e-03
37,,,,,,,8.303665e-03
38,,,,,,,8.744526e-03
39,,,,,,,8.104802e-03
40,,,,,,,6.949446e-03
41,,,,,,,1.027644e-02
42,,,,,,,7.926804e-03
43,,,,,,,7.511443e-03
44,,,,,,,6.518621e-03
45,,,,,,,1.042722e-02
46,,,,,,,7.184147e-03
47,,,,,,,6.713392e-03
48,,,,,,,7.655597e-03
49,,,,,,,6.737653e-03
50,,,,,,,7.748007e-03
51,,,,,,,7.065061e-03
52,,,,,,,6.813073e-03
53,,,,,,,7.031674e-03
54,,,,,,,8.051988e-03
55,,,,,,,9.159245e-03
56,,,,,,,8.861364e-03
57,,,,,,,6.158748e-03
58,,,,,,,5.624582e-03
59,,,,,,,7.582351e-03
60,,,,,,,6.048113e-03
61,,,,,,,6.519458e-03
62,,,,,,,8.745766e-03
63,,,,,,,5.841826e-03
64,,,,,,,8.718574e-03
65,,,,,,,5.888580e-03
66,,,,,,,5.318405e-03
67,,,,,,,4.111037e-03
68,,,,,,,4.534965e-03
69,,,,,,,2.554117e-03
70,,,,,,,1.683370e-03
71,,,,,,,3.438916e-03
72,,,,,,,3.545381e-03
73,,,,,,,2.854275e-03
74,,,,,,,1.825055e-03
75,,,,,,,2.083948e-03
76,,,,,,,2.034478e-03
77,,,,,,,2.594126e-03
78,,,,,,,1.337881e-03
79,,,,,,,9.176911e-04
80,,,,,,,9.014655e-04
81,,,,,,,6.729674e-04
82,,,,,,,3.584571e-04
83,,,,,,,4.159557e-04
84,,,,,,,3.195956e-04
85,,,,,,,4.436497e-04
86,,,,,,,4.060069e-04
87,,,,,,,6.214120e-04
88,,,,,,,4.083092e-04
89,,,,,,,2.746447e-04
90,,,,,,,2.926674e-04
