epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,0.001,0,,,,,,
0,,60,0.4922923445701599,0.010045665316283703,0.14311949908733368,0.0029671709053218365,0.7553148865699768,
,0.001,61,,,,,,
1,,121,0.4693066477775574,0.005612560547888279,8.632667595520616e-05,0.0014381735818460584,0.020425930619239807,
,0.001,122,,,,,,
2,,182,0.4428231120109558,0.00694520166143775,5.916196096222848e-05,0.00046962843043729663,0.011937296949326992,
,0.001,183,,,,,,
3,,243,0.41612958908081055,0.006206080317497253,3.881971133523621e-05,0.0002637009893078357,0.00903718825429678,
,0.001,244,,,,,,
4,,304,0.39001062512397766,0.007323509082198143,4.0948209061753005e-05,0.00043597188778221607,0.011887968517839909,
,0.001,305,,,,,,
5,,365,0.3555220663547516,0.004796595312654972,2.0610412320820615e-05,0.00046682843822054565,0.009567930363118649,
,0.001,366,,,,,,
6,,426,0.33084219694137573,0.006970916874706745,0.0002141036093235016,0.0001470999704906717,0.009512435644865036,
,0.001,427,,,,,,
7,,487,0.3179370164871216,0.0075877453200519085,0.00011789577547460794,0.00018257788906339556,0.010003000497817993,
,0.001,488,,,,,,
8,,548,0.30593058466911316,0.005868374835699797,0.00019470280676614493,0.00012777971278410405,0.00811968557536602,
,0.001,549,,,,,,
9,,609,0.2934451699256897,0.005627334117889404,0.00010037971514975652,0.0001096099367714487,0.007225332781672478,
,0.001,610,,,,,,
10,,670,0.27520403265953064,0.004820126108825207,8.437467477051541e-05,9.408996993442997e-05,0.0061829001642763615,
,0.001,671,,,,,,
11,,731,0.254668265581131,0.007591329514980316,4.426541272550821e-05,0.00022501495550386608,0.010062805376946926,
,0.001,732,,,,,,
12,,792,0.22606386244297028,0.008773363195359707,6.448791828006506e-05,0.00011545606685103849,0.010250363498926163,
,0.001,793,,,,,,
13,,853,0.2168787568807602,0.00828210636973381,8.31965371617116e-05,9.269852307625115e-05,0.00962507538497448,
,0.001,854,,,,,,
14,,914,0.2106199860572815,0.006122743710875511,5.475216676131822e-05,7.751100201858208e-05,0.0071716150268912315,
,0.001,915,,,,,,
15,,975,0.20980332791805267,0.005964259617030621,0.00010454104631207883,5.90812269365415e-05,0.007077779620885849,
,0.001,976,,,,,,
16,,1036,0.20330710709095,0.006745528429746628,0.00012144907668698579,0.00010863852367037907,0.008439160883426666,
,0.001,1037,,,,,,
17,,1097,0.19769854843616486,0.006183270364999771,4.845294097322039e-05,0.00013635007780976593,0.007789036259055138,
,0.001,1098,,,,,,
18,,1158,0.19704189896583557,0.005518350750207901,0.00011000379890901968,0.00011993527732556686,0.007267720997333527,
,0.001,1159,,,,,,
19,,1219,0.19023343920707703,0.005227474495768547,0.00012752249313052744,3.326372097944841e-05,0.006197724957019091,
,0.001,1220,,,,,,
20,,1280,0.1850256621837616,0.0049456446431577206,8.832543244352564e-05,9.782094275578856e-05,0.006365480367094278,
,0.001,1281,,,,,,
21,,1341,0.18532226979732513,0.005861338227987289,9.480022708885372e-05,0.00013745496107731014,0.007709890138357878,
,0.001,1342,,,,,,
22,,1402,0.18569885194301605,0.006870123092085123,8.550068741897121e-05,0.00015863556473050267,0.008883981965482235,
,0.001,1403,,,,,,
23,,1463,0.18235595524311066,0.005804022774100304,6.491949898190796e-05,0.00013427469821181148,0.007471366785466671,
,0.001,1464,,,,,,
24,,1524,0.1898707151412964,0.003983346279710531,0.00022187874128576368,3.965019641327672e-05,0.005489240866154432,
,0.001,1525,,,,,,
25,,1585,0.1924128532409668,0.006657278165221214,0.00018504413310438395,8.068972965702415e-05,0.008389393799006939,
,0.001,1586,,,,,,
26,,1646,0.18811596930027008,0.005534208845347166,0.00011048948363168165,7.636073132744059e-05,0.006850262638181448,
,0.001,1647,,,,,,
27,,1707,0.19122172892093658,0.008606935851275921,0.00018913457461167127,9.003560262499377e-05,0.010452965274453163,
,0.001,1708,,,,,,
28,,1768,0.18476583063602448,0.007809124421328306,0.0001428993564331904,5.30918623553589e-05,0.00905453972518444,
,0.001,1769,,,,,,
29,,1829,0.18468767404556274,0.002747064223513007,0.0001469129929319024,9.011391375679523e-05,0.0043827686458826065,
,0.001,1830,,,,,,
30,,1890,0.1871931105852127,0.0032866306137293577,0.00017896002100314945,4.177705341135152e-05,0.004599201958626509,
,0.001,1891,,,,,,
31,,1951,0.18526509404182434,0.005169421900063753,7.247092435136437e-05,4.877861647401005e-05,0.006019563879817724,
,0.001,1952,,,,,,
32,,2012,0.18580180406570435,0.003024641191586852,0.00011557743710000068,4.03896119678393e-05,0.00400642491877079,
,0.001,2013,,,,,,
33,,2073,0.1937512457370758,0.0027771866880357265,3.830633431789465e-05,7.078977068886161e-05,0.003676615422591567,
,0.001,2074,,,,,,
34,,2134,0.19872094690799713,0.002826850628480315,0.00015914767573121935,3.226704939152114e-05,0.003945259377360344,
,0.001,2135,,,,,,
35,,2195,0.20023708045482635,0.001907248399220407,0.000254161685006693,7.09357118466869e-05,0.0038874137680977583,
,0.001,2196,,,,,,
36,,2256,0.20665423572063446,0.0014344686642289162,0.00012169340334367007,5.4555570386582986e-05,0.002588491654023528,
,0.001,2257,,,,,,
37,,2317,0.21477732062339783,0.0010579942027106881,7.886355160735548e-05,6.246520933927968e-05,0.0020769641268998384,
,0.001,2318,,,,,,
38,,2378,0.2215438038110733,0.0013440601760521531,8.592784433858469e-05,5.126878386363387e-05,0.0022863878402858973,
,0.001,2379,,,,,,
39,,2439,0.23000092804431915,0.001698831794783473,8.661732135806233e-05,5.682797564077191e-05,0.0027001977432519197,
,0.001,2440,,,,,,
