epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,
0,,,31,0.4916863441467285,0.06532809138298035,0.08411282300949097,0.02498854510486126,0.7357774376869202,
,,0.001,32,,,,,,
1,,,63,0.48636752367019653,0.009101871401071548,1.1154347703268286e-05,4.6143188228597865e-05,0.009619074873626232,
,,0.001,64,,,,,,
2,,,95,0.48601117730140686,0.00886700488626957,1.0270210850649164e-06,3.025347950824653e-06,0.008902392350137234,
,,0.001,96,,,,,,
3,,,127,0.48598378896713257,0.009369452483952045,2.474983205047465e-07,1.1870185971929459e-06,0.009382561780512333,
,,0.001,128,,,,,,
4,,,159,0.4859715402126312,0.00823054276406765,2.1962550533771719e-07,8.358028367183579e-07,0.008239997550845146,
,,0.001,160,,,,,,
5,,,191,0.48595699667930603,0.008247493766248226,1.6868848717876972e-07,1.8561387378213112e-06,0.008266898803412914,
,,0.001,192,,,,,,
6,,,223,0.4832589626312256,0.006936658173799515,3.9861200207269576e-07,1.5041756341815926e-05,0.007089067716151476,
,,0.001,224,,,,,,
7,,,255,0.47266215085983276,0.006531931459903717,1.2663437701121438e-05,0.00011929792526643723,0.007788227871060371,
,,0.001,256,,,,,,
8,,,287,0.459419310092926,0.004865617956966162,2.6944226192426868e-05,2.5142433514702134e-05,0.005251762922853231,
,,0.001,288,,,,,,
9,,,319,0.44272392988204956,0.006333878263831139,2.4199553081416525e-06,4.887704926659353e-05,0.006834748666733503,
,,0.001,320,,,,,,
10,,,351,0.42668914794921875,0.008569146506488323,1.5782425180077553e-06,1.679058732406702e-05,0.008744943886995316,
,,0.001,352,,,,,,
11,,,383,0.4131312370300293,0.0045199464075267315,1.3378210041992133e-06,1.7974212823901325e-05,0.004706378094851971,
,,0.001,384,,,,,,
12,,,415,0.4016328752040863,0.005677014123648405,8.136130418279208e-07,1.57425383804366e-05,0.00583850871771574,
,,0.001,416,,,,,,
13,,,447,0.38775262236595154,0.006090992596000433,1.1499062111397507e-06,1.8299058865522966e-05,0.006279733031988144,
,,0.001,448,,,,,,
14,,,479,0.3758687674999237,0.0056893788278102875,5.949287356088462e-07,6.392547675204696e-06,0.005756278522312641,
,,0.001,480,,,,,,
15,,,511,0.3648742437362671,0.0060082473792135715,5.430234750747331e-07,1.7583528460818343e-05,0.006186798680573702,
,,0.001,512,,,,,,
16,,,543,0.3553464114665985,0.006418973207473755,2.8632059638766805e-06,1.30418511616881e-05,0.006563708186149597,
,,0.001,544,,,,,,
17,,,575,0.34623467922210693,0.005480754189193249,4.596010057866806e-06,8.556504326406866e-06,0.005589300766587257,
,,0.001,576,,,,,,
18,,,607,0.33947333693504333,0.006867964752018452,3.464170049483073e-06,8.12272719485918e-06,0.006966512184590101,
,,0.001,608,,,,,,
19,,,639,0.33048275113105774,0.005377199500799179,4.453708015716984e-07,9.993652383855078e-06,0.005479362327605486,
,,0.001,640,,,,,,
20,,,671,0.32399070262908936,0.006377782206982374,1.540268044664117e-06,6.540847607539035e-06,0.006450890563428402,
