epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,
0,,,31,0.49419471621513367,0.03344462066888809,0.0681377574801445,0.005224128253757954,0.42637473344802856,
,,0.001,32,,,,,,
1,,,63,0.4903048276901245,0.009481608867645264,5.2800569392275065e-05,0.00013502985530067235,0.011095911264419556,
,,0.001,64,,,,,,
2,,,95,0.48999789357185364,0.01128118485212326,4.43976568931248e-06,9.865233550954144e-06,0.011402035132050514,
,,0.001,96,,,,,,
3,,,127,0.4899538457393646,0.009823137894272804,4.830783950637851e-07,9.056658996087208e-07,0.009834609925746918,
,,0.001,128,,,,,,
4,,,159,0.48991090059280396,0.009942826814949512,3.6394581570675655e-07,9.820934110393864e-07,0.00995446927845478,
,,0.001,160,,,,,,
5,,,191,0.4898536205291748,0.008130418136715889,3.784309114962525e-07,5.746283022745047e-07,0.008138058707118034,
,,0.001,192,,,,,,
6,,,223,0.48821938037872314,0.0072234696708619595,1.5003151929704472e-06,5.220563252805732e-05,0.0077530271373689175,
,,0.001,224,,,,,,
7,,,255,0.46647533774375916,0.009640523232519627,2.3775530735292705e-06,9.691161540104076e-05,0.010621527209877968,
,,0.001,256,,,,,,
8,,,287,0.44202321767807007,0.004981165751814842,2.331577661607298e-06,2.9717817596974783e-05,0.005290001630783081,
,,0.001,288,,,,,,
9,,,319,0.4299597144126892,0.006333005614578724,1.4606416698370595e-06,2.072610914183315e-05,0.006547569762915373,
,,0.001,320,,,,,,
10,,,351,0.4162406325340271,0.006349771749228239,1.3992764706927119e-06,4.505784090724774e-05,0.006807345896959305,
,,0.001,352,,,,,,
11,,,383,0.40506377816200256,0.007102712523192167,1.2317993878241396e-06,1.3456491615215782e-05,0.007243436761200428,
,,0.001,384,,,,,,
12,,,415,0.3956963121891022,0.006534930318593979,1.261064653590438e-06,1.024898392643081e-05,0.0066437250934541225,
,,0.001,416,,,,,,
13,,,447,0.38539034128189087,0.00795415323227644,1.5219503666230594e-06,2.131541259586811e-05,0.008174917660653591,
,,0.001,448,,,,,,
14,,,479,0.3766636848449707,0.005941712763160467,1.094349045160925e-06,9.553361451253295e-06,0.00604271749034524,
,,0.001,480,,,,,,
15,,,511,0.36780980229377747,0.007350014988332987,6.065208140171308e-07,1.4991560419730376e-05,0.007502964232116938,
,,0.001,512,,,,,,
16,,,543,0.3614586889743805,0.00559765100479126,6.968290335862548e-07,9.005828360386658e-06,0.0056911944411695,
,,0.001,544,,,,,,
17,,,575,0.3526529371738434,0.006109032314270735,1.1113223763459246e-06,9.12519681151025e-06,0.006205840036273003,
,,0.001,576,,,,,,
18,,,607,0.34468701481819153,0.0053567043505609035,6.55535473015334e-07,1.0292294973623939e-05,0.00546290585771203,
,,0.001,608,,,,,,
19,,,639,0.33702120184898376,0.006308422889560461,1.7086639445551555e-06,1.3235866390459705e-05,0.006449325475841761,
,,0.001,640,,,,,,
20,,,671,0.32903382182121277,0.006355351768434048,2.702921392483404e-06,1.5872281437623315e-05,0.00652758963406086,
,,0.001,672,,,,,,
21,,,703,0.32188019156455994,0.006957529112696648,5.532465934265929e-07,6.3501702243229374e-06,0.007023796904832125,
,,0.001,704,,,,,,
22,,,735,0.3157515823841095,0.005404453258961439,6.453779519688396e-07,9.341194527223706e-06,0.005501091945916414,
,,0.001,736,,,,,,
23,,,767,0.3093512952327728,0.004971527960151434,2.273787231388269e-06,1.3901159036322497e-05,0.005121907684952021,
,,0.001,768,,,,,,
24,,,799,0.30302825570106506,0.007993769831955433,4.821747097594198e-06,1.3265923371363897e-05,0.008150537498295307,
,,0.001,800,,,,,,
25,,,831,0.29514575004577637,0.006420891731977463,9.029814464156516e-06,4.260387140675448e-05,0.00689207948744297,
,,0.001,832,,,,,,
26,,,863,0.2863740921020508,0.005122330971062183,2.9829667255398817e-05,3.4378190321149305e-05,0.0056152623146772385,
,,0.001,864,,,,,,
27,,,895,0.2788751423358917,0.004752420820295811,0.00025928913964889944,0.00022742414148524404,0.008323107846081257,
,,0.001,896,,,,,,
28,,,927,0.2622280418872833,0.0036431278567761183,8.825909026199952e-05,9.73453643382527e-05,0.005057876463979483,
,,0.001,928,,,,,,
29,,,959,0.24688485264778137,0.0037139002233743668,4.4132240873295814e-05,2.0143559595453553e-05,0.004135997500270605,
,,0.001,960,,,,,,
30,,,991,0.2410622537136078,0.0045487359166145325,4.44607030658517e-06,3.913377440767363e-05,0.004962303675711155,
,,0.001,992,,,,,,
31,,,1023,0.23664312064647675,0.0044695488177239895,1.2783433703589253e-05,2.8860649763373658e-05,0.004822072573006153,
,,0.001,1024,,,,,,
32,,,1055,0.23690269887447357,0.003732555080205202,3.679462224681629e-06,1.8435510355629958e-05,0.003935307264328003,
,,0.001,1056,,,,,,
33,,,1087,0.23693157732486725,0.0015698126517236233,6.104179988142278e-07,3.42683561029844e-05,0.0019155479967594147,
,,0.001,1088,,,,,,
34,,,1119,0.23960892856121063,0.0012982436455786228,1.5895501519480604e-06,3.699988155858591e-05,0.0016761901788413525,
,,0.001,1120,,,,,,
35,,,1151,0.245961531996727,0.002181616611778736,4.079623977304436e-06,5.971912469249219e-05,0.002799206180498004,
,,0.001,1152,,,,,,
36,,,1183,0.2444511502981186,0.0016353859100490808,1.767962567100767e-05,3.198887861799449e-05,0.0020436730701476336,
,,0.001,1184,,,,,,
37,,,1215,0.24806614220142365,0.002755569526925683,4.0987483771459665e-06,2.719403346418403e-05,0.0030480045825242996,
,,0.001,1216,,,,,,
38,,,1247,0.2549019753932953,0.0016831628745421767,9.874318038782803e-07,3.0855866498313844e-05,0.0019966585095971823,
,,0.001,1248,,,,,,
39,,,1279,0.2623794674873352,0.0016221506521105766,7.809923772583716e-06,5.917583257541992e-05,0.0022529587149620056,
,,0.001,1280,,,,,,
40,,,1311,0.26782262325286865,0.0027842880226671696,8.993095252662897e-05,4.9059726734412834e-05,0.0037245398852974176,
,,0.001,1312,,,,,,
41,,,1343,0.2696731388568878,0.0027505422476679087,3.60379931407806e-06,2.812009734043386e-05,0.00304976268671453,
,,0.001,1344,,,,,,
42,,,1375,0.2705531418323517,0.0011171124642714858,8.621237270745041e-07,2.411243985989131e-05,0.0013625472784042358,
,,0.001,1376,,,,,,
43,,,1407,0.27369609475135803,0.0005925473524257541,4.857193744101096e-06,3.334247230668552e-05,0.0009502581087872386,
,,0.001,1408,,,,,,
44,,,1439,0.2831520438194275,0.0006144343060441315,1.2727592775263474e-06,3.8504836993524805e-05,0.0010058465413749218,
,,0.001,1440,,,,,,
45,,,1471,0.2896058261394501,0.0004963026149198413,1.8073300225296407e-06,3.050788836844731e-05,0.0008104182779788971,
,,0.001,1472,,,,,,
46,,,1503,0.2954843044281006,0.0008607223280705512,2.4221965304604964e-06,3.437819759710692e-05,0.001216615317389369,
,,0.001,1504,,,,,,
47,,,1535,0.2990778684616089,0.001407640753313899,2.758293521765154e-05,4.0787941543385386e-05,0.0019534348975867033,
,,0.001,1536,,,,,,
48,,,1567,0.29800182580947876,0.0009724741103127599,1.872488428489305e-05,3.468756767688319e-05,0.0014129743212834,
,,0.001,1568,,,,,,
49,,,1599,0.2997281551361084,0.0009557216544635594,5.9190533647779375e-06,2.6224761313642375e-05,0.0012475645635277033,
,,0.001,1600,,,,,,
