epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,
0,,,31,0.49406903982162476,0.018679335713386536,0.07368974387645721,0.0037057639565318823,0.42418569326400757,
,,0.001,32,,,,,,
1,,,63,0.48853278160095215,0.008385488763451576,4.282839654479176e-05,5.9077341575175524e-05,0.009190404787659645,
,,0.001,64,,,,,,
2,,,95,0.4880145192146301,0.007987577468156815,9.881716778181726e-07,3.3122294098575367e-06,0.00802564062178135,
,,0.001,96,,,,,,
3,,,127,0.48797211050987244,0.010135138407349586,2.8424989295672276e-07,2.9376706152106635e-06,0.010165936313569546,
,,0.001,128,,,,,,
4,,,159,0.486711323261261,0.1099868044257164,2.011268179558101e-06,0.007904411293566227,0.18904097378253937,
,,0.001,160,,,,,,
5,,,191,0.47905832529067993,0.008667225949466228,9.649367711972445e-06,9.334746573586017e-05,0.009648947045207024,
,,0.001,192,,,,,,
6,,,223,0.45670589804649353,0.005615162197500467,4.086755780008389e-06,3.8627185858786106e-05,0.0060218689031898975,
,,0.001,224,,,,,,
7,,,255,0.44092679023742676,0.005795248318463564,1.7152129885289469e-06,1.7822218069341034e-05,0.005982046481221914,
,,0.001,256,,,,,,
8,,,287,0.4232643246650696,0.008623641915619373,1.700452799013874e-06,3.766015652217902e-05,0.009008744731545448,
,,0.001,288,,,,,,
9,,,319,0.4049568772315979,0.005864125210791826,1.420703824805969e-06,1.9099154087598436e-05,0.006062219850718975,
,,0.001,320,,,,,,
10,,,351,0.3988109230995178,0.005335947498679161,9.485420378041454e-07,5.974804935249267e-06,0.005400438793003559,
,,0.001,352,,,,,,
11,,,383,0.38828083872795105,0.006316791288554668,8.980546795100963e-07,9.279593541577924e-06,0.006414078176021576,
,,0.001,384,,,,,,
12,,,415,0.37496891617774963,0.005371840205043554,6.899517757119611e-07,1.984832124435343e-05,0.005573772359639406,
,,0.001,416,,,,,,
13,,,447,0.36210572719573975,0.006000198423862457,5.50920390196552e-07,7.259786343638552e-06,0.006075551267713308,
,,0.001,448,,,,,,
14,,,479,0.352161705493927,0.0068094152957201,5.35421520453383e-07,1.3147592653695028e-05,0.006943566724658012,
,,0.001,480,,,,,,
15,,,511,0.34521594643592834,0.005512474104762077,4.659494550196541e-07,7.730010111117736e-06,0.005592103116214275,
,,0.001,512,,,,,,
16,,,543,0.33439964056015015,0.00763188349083066,5.467642267831252e-07,1.644178519200068e-05,0.007799034006893635,
,,0.001,544,,,,,,
17,,,575,0.32285261154174805,0.00715380534529686,6.203756584000075e-07,1.0969907634716947e-05,0.007266606204211712,
,,0.001,576,,,,,,
18,,,607,0.31298866868019104,0.008467587642371655,7.992303494575026e-07,1.5897732737357728e-05,0.008630559779703617,
,,0.001,608,,,,,,
19,,,639,0.30450868606567383,0.006037841085344553,9.289541367252241e-07,1.106339186662808e-05,0.006153120193630457,
,,0.001,640,,,,,,
20,,,671,0.29476499557495117,0.0046211592853069305,3.836102223431226e-06,1.3404589481069706e-05,0.004774387460201979,
,,0.001,672,,,,,,
21,,,703,0.2856701910495758,0.0037464385386556387,3.50708796759136e-05,2.3180022253654897e-05,0.004153593443334103,
,,0.001,704,,,,,,
22,,,735,0.2771100103855133,0.0047521269880235195,4.0710033317736816e-06,2.1260138964862563e-05,0.004985083360224962,
,,0.001,736,,,,,,
23,,,767,0.26586785912513733,0.0032016795594245195,4.568953499983763e-06,0.00011246623034821823,0.004349186550825834,
,,0.001,768,,,,,,
24,,,799,0.25176945328712463,0.004369975533336401,7.44664703233866e-06,5.626533311442472e-05,0.004969861824065447,
,,0.001,800,,,,,,
25,,,831,0.23870109021663666,0.003337129484862089,5.9511162362468895e-06,2.440161733829882e-05,0.003610901301726699,
,,0.001,832,,,,,,
26,,,863,0.2333618849515915,0.003250237088650465,4.220721893943846e-05,2.104564555338584e-05,0.0036717294715344906,
,,0.001,864,,,,,,
27,,,895,0.2322690188884735,0.0014635731931775808,8.596778570790775e-06,2.8417020075721666e-05,0.0017907273722812533,
,,0.001,896,,,,,,
28,,,927,0.23279881477355957,0.0013344745384529233,5.79125335207209e-05,4.100878504686989e-05,0.002034124918282032,
,,0.001,928,,,,,,
29,,,959,0.23656751215457916,0.00373026798479259,5.382462404668331e-06,4.1764134948607534e-05,0.004174821078777313,
,,0.001,960,,,,,,
30,,,991,0.2308131456375122,0.00518791051581502,2.287550159962848e-06,7.56438821554184e-05,0.005955786444246769,
,,0.001,992,,,,,,
31,,,1023,0.2232956439256668,0.0024270678404718637,1.843070208451536e-06,4.5824996050214395e-05,0.002894533332437277,
,,0.001,1024,,,,,,
32,,,1055,0.22386644780635834,0.001268705353140831,1.7145435776910745e-05,5.604640318779275e-05,0.0019148964202031493,
,,0.001,1056,,,,,,
33,,,1087,0.23021982610225677,0.0011592055670917034,7.039950287435204e-05,4.0662042010808364e-05,0.0019178235670551658,
,,0.001,1088,,,,,,
34,,,1119,0.23427920043468475,0.0015671397559344769,6.0251524701016024e-05,4.110178997507319e-05,0.002279415261000395,
,,0.001,1120,,,,,,
35,,,1151,0.23649105429649353,0.0014595168177038431,1.5290417650248855e-05,3.2422729418613017e-05,0.001860196003690362,
,,0.001,1152,,,,,,
36,,,1183,0.24123433232307434,0.0023615299724042416,3.1178872177406447e-06,4.620032268576324e-05,0.0028391226660460234,
,,0.001,1184,,,,,,
37,,,1215,0.2430579960346222,0.008060608059167862,5.46282171853818e-06,4.534439358394593e-05,0.008541365154087543,
,,0.001,1216,,,,,,
38,,,1247,0.2286791056394577,0.0036246883682906628,1.707553383312188e-05,3.6259843909647316e-05,0.004072665236890316,
,,0.001,1248,,,,,,
39,,,1279,0.22657480835914612,0.0035423266235738993,2.866015393010457e-06,3.2487991120433435e-05,0.0038815366569906473,
,,0.001,1280,,,,,,
40,,,1311,0.22851313650608063,0.001198572339490056,1.5946884559525643e-06,4.2198345909127966e-05,0.0016285291640087962,
,,0.001,1312,,,,,,
41,,,1343,0.23822864890098572,0.0009520458406768739,2.6969362352247117e-06,4.670388807426207e-05,0.0014325693482533097,
,,0.001,1344,,,,,,
42,,,1375,0.24726949632167816,0.0025761250872164965,1.6728057516957051e-06,3.467180431471206e-05,0.002931206952780485,
,,0.001,1376,,,,,,
43,,,1407,0.2465749979019165,0.0013027834938839078,2.4452215257042553e-06,4.945457840221934e-05,0.0018095554551109672,
,,0.001,1408,,,,,,
44,,,1439,0.25887539982795715,0.0015864894958212972,1.5715409972472116e-05,3.760416802833788e-05,0.002041108440607786,
,,0.001,1440,,,,,,
45,,,1471,0.27082914113998413,0.0007596504292450845,6.280122306634439e-06,3.2415489840786904e-05,0.0011152058141306043,
,,0.001,1472,,,,,,
46,,,1503,0.2856042981147766,0.00069280038587749,7.197012109827483e-06,2.9473290851456113e-05,0.0010235182708129287,
,,0.001,1504,,,,,,
47,,,1535,0.29797518253326416,0.0010901306523010135,6.033316367393127e-06,3.3050069760065526e-05,0.001450797775760293,
,,0.001,1536,,,,,,
48,,,1567,0.3028774559497833,0.0005136728868819773,1.0541917845330318e-06,3.390255369595252e-05,0.0008579692803323269,
,,0.001,1568,,,,,,
49,,,1599,0.31157684326171875,0.0003708669974002987,1.3463755976772518e-06,2.9537393857026473e-05,0.0006729728193022311,
,,0.001,1600,,,,,,
50,,,1631,0.3251884877681732,0.0004931626026518643,1.5787622942298185e-06,2.0453222532523796e-05,0.0007055886671878397,0.016337314620614052
,,0.001,1632,,,,,,
51,,,1663,0.3361350893974304,0.00037563941441476345,2.504355734345154e-06,2.7190373657504097e-05,0.0006600649212487042,0.016023769974708557
,,0.001,1664,,,,,,
52,,,1695,0.34607553482055664,0.00043903032201342285,3.0451123166130856e-05,2.3734402930131182e-05,0.0008286299416795373,0.01571986824274063
,,0.001,1696,,,,,,
53,,,1727,0.3537701368331909,0.00045187040814198554,5.8056889429281e-06,2.8304470106377266e-05,0.0007639435934834182,0.015420748852193356
,,0.001,1728,,,,,,
54,,,1759,0.36265262961387634,0.00036633218405768275,1.3858169950253796e-05,1.5975245332811028e-05,0.0005953755462542176,0.015124241821467876
,,0.001,1760,,,,,,
55,,,1791,0.37199866771698,0.0005340022617019713,4.0472077671438456e-05,2.2850910681881942e-05,0.0009648717241361737,0.014841053634881973
,,0.001,1792,,,,,,
56,,,1823,0.3779192566871643,0.0004760564479511231,4.033843197248643e-06,2.651311478985008e-05,0.0007613567868247628,0.014559459872543812
,,0.001,1824,,,,,,
57,,,1855,0.38351038098335266,0.0005723780486732721,7.703538358327933e-06,1.4958220162952784e-05,0.0007604779675602913,0.014283480122685432
,,0.001,1856,,,,,,
58,,,1887,0.38896238803863525,0.0011663914192467928,3.466124690021388e-05,5.491326010087505e-05,0.0018888303311541677,0.014035587199032307
,,0.001,1888,,,,,,
59,,,1919,0.3867025077342987,0.0007712641963735223,1.4883091353112832e-05,3.630204810178839e-05,0.0012087001232430339,0.0137790497392416
,,0.001,1920,,,,,,
60,,,1951,0.3849007189273834,0.000942160957492888,1.1686003745126072e-05,4.099084617337212e-05,0.0014104993315413594,0.013531678356230259
,,0.001,1952,,,,,,
61,,,1983,0.38453102111816406,0.000598537502810359,2.636895442265086e-05,2.3002818124950863e-05,0.0009604105143807828,0.013280252926051617
,,0.001,1984,,,,,,
62,,,2015,0.3858376145362854,0.0011259749298915267,2.111693220285815e-06,1.7627744455239736e-05,0.001312810811214149,0.013040904887020588
,,0.001,2016,,,,,,
63,,,2047,0.39085638523101807,0.0013549926225095987,8.238678674388211e-06,2.747252437984571e-05,0.0016709110932424664,0.012813504785299301
,,0.001,2048,,,,,,
64,,,2079,0.3894112706184387,0.0004604668647516519,1.7607428617338883e-06,2.3306960429181345e-05,0.0007023400394245982,0.01257128082215786
,,0.001,2080,,,,,,
65,,,2111,0.39087074995040894,0.00045301401405595243,1.1037696822313592e-05,3.1270239560399204e-05,0.0008209047955460846,0.012336273677647114
