epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,0.001,0,,,,,,
0,,23,0.4892193377017975,0.02666814625263214,0.12619845569133759,0.020861433818936348,0.42746052145957947,
,0.001,24,,,,,,
1,,47,0.47091808915138245,0.00910948496311903,0.004552742000669241,0.0006797251990064979,0.0560123585164547,
,0.001,48,,,,,,
2,,71,0.46548575162887573,0.011549560353159904,0.00026752526173368096,0.00011572294170036912,0.0585143081843853,
,0.001,72,,,,,,
3,,95,0.4639027416706085,0.00682808319106698,0.00019741382857318968,8.386628178413957e-05,0.034702979028224945,
,0.001,96,,,,,,
4,,119,0.4626254439353943,0.008954795077443123,0.00013615381612908095,6.267342541832477e-05,0.04517163336277008,
,0.001,120,,,,,,
5,,143,0.4615651071071625,0.0064230808056890965,0.0001861915661720559,0.00014073302736505866,0.032769251614809036,
,0.001,144,,,,,,
6,,167,0.45997926592826843,0.01123788021504879,0.00010154781193705276,9.209006384480745e-05,0.0565766803920269,
,0.001,168,,,,,,
7,,191,0.45914706587791443,0.006505095399916172,0.00015892063674982637,6.071489042369649e-05,0.03296474739909172,
,0.001,192,,,,,,
8,,215,0.4573470950126648,0.0061441631987690926,0.00014770746929571033,6.510612001875415e-05,0.031146444380283356,
,0.001,216,,,,,,
9,,239,0.4565938711166382,0.0075359223410487175,8.953324140748009e-05,4.5297016185941175e-05,0.03794927895069122,
,0.001,240,,,,,,
10,,263,0.4552231729030609,0.006818252615630627,7.910438580438495e-05,4.357572106528096e-05,0.034336622804403305,0.07662779837846756
,0.001,264,,,,,,
11,,287,0.4540005922317505,0.0065855165012180805,8.13875813037157e-05,4.510518556344323e-05,0.033180564641952515,0.072283074259758
,0.001,288,,,,,,
12,,311,0.4529085159301758,0.00589626794680953,5.509973198059015e-05,2.8691110856016167e-05,0.02964891865849495,0.06801965832710266
,0.001,312,,,,,,
13,,335,0.4519706666469574,0.008227381855249405,4.492323932936415e-05,3.23796302836854e-05,0.04129151627421379,0.0653468444943428
,0.001,336,,,,,,
14,,359,0.4509154260158539,0.007806513924151659,3.9261682104552165e-05,4.156921568210237e-05,0.03919422626495361,0.06273158639669418
,0.001,360,,,,,,
15,,383,0.4494689702987671,0.007586896885186434,3.893302346114069e-05,3.753868440981023e-05,0.03808743134140968,0.060267169028520584
,0.001,384,,,,,,
16,,407,0.4485578238964081,0.008312491700053215,2.8981015930185094e-05,2.605444024084136e-05,0.04167252779006958,0.058407705277204514
,0.001,408,,,,,,
17,,431,0.4472832977771759,0.006749817170202732,3.3415883081033826e-05,3.728830415639095e-05,0.0338904932141304,0.05595598369836807
,0.001,432,,,,,,
18,,455,0.4464654326438904,0.00606183847412467,2.3449299987987615e-05,2.1875410311622545e-05,0.030399838462471962,0.053400371223688126
,0.001,456,,,,,,
19,,479,0.44535306096076965,0.00737382285296917,2.063099600491114e-05,3.089039819315076e-05,0.03697216138243675,0.05175754800438881
,0.001,480,,,,,,
20,,503,0.44445914030075073,0.008299170061945915,1.672410508035682e-05,3.841971556539647e-05,0.04160613939166069,0.05074240639805794
,0.001,504,,,,,,
21,,527,0.4426281452178955,0.006410674657672644,1.9777235138462856e-05,4.9647434934740886e-05,0.032192230224609375,0.04888739064335823
,0.001,528,,,,,,
22,,551,0.44187256693840027,0.00626828707754612,1.571325265103951e-05,2.1205911252764054e-05,0.03141527995467186,0.047140177339315414
,0.001,552,,,,,,
23,,575,0.4406009912490845,0.007746514864265919,1.483014511904912e-05,1.883782897493802e-05,0.03879990428686142,0.046306151896715164
,0.001,576,,,,,,
24,,599,0.43962618708610535,0.007310176268219948,1.2489069376897532e-05,2.1156351067475043e-05,0.036618176847696304,0.04533735290169716
,0.001,600,,,,,,
25,,623,0.4386865794658661,0.006352251395583153,1.1475375686131883e-05,1.7530997865833342e-05,0.03181926906108856,0.04398554563522339
,0.001,624,,,,,,
26,,647,0.4375956058502197,0.006790284998714924,1.1166080184921157e-05,2.96998714475194e-05,0.0340331494808197,0.0429903045296669
,0.001,648,,,,,,
27,,671,0.43662387132644653,0.006481650285422802,8.808760867395904e-06,3.0328272259794176e-05,0.03248652443289757,0.041939929127693176
,0.001,672,,,,,,
28,,695,0.4349097013473511,0.006464464124292135,9.336021321360022e-06,3.681941961986013e-05,0.03241463750600815,0.040987398475408554
,0.001,696,,,,,,
29,,719,0.43385452032089233,0.006807481870055199,8.315922968904488e-06,2.1326895875972696e-05,0.03409669175744057,0.040298327803611755
,0.001,720,,,,,,
30,,743,0.43254294991493225,0.0064539737068116665,7.511253897973802e-06,1.7486501747043803e-05,0.03231986239552498,0.03950048238039017
,0.001,744,,,,,,
31,,767,0.43140384554862976,0.006977510172873735,6.877065061416943e-06,1.856471317296382e-05,0.03493843227624893,0.039044275879859924
,0.001,768,,,,,,
32,,791,0.4305894374847412,0.005657561589032412,5.899441021028906e-06,1.2085421076335479e-05,0.02832377701997757,0.03797222673892975
,0.001,792,,,,,,
33,,815,0.4296955466270447,0.005458945874124765,5.670186510542408e-06,1.2007073564745951e-05,0.027330083772540092,0.03690801188349724
,0.001,816,,,,,,
34,,839,0.42879387736320496,0.008002198301255703,5.412155132944463e-06,2.877622864616569e-05,0.04007937014102936,0.0372251495718956
,0.001,840,,,,,,
35,,863,0.42696014046669006,0.006529456004500389,5.228070222074166e-06,3.772254422074184e-05,0.03273317962884903,0.03677595034241676
,0.001,864,,,,,,
36,,887,0.4262165427207947,0.007775785401463509,4.401603746373439e-06,2.1664749510819092e-05,0.03893106058239937,0.036991462111473083
,0.001,888,,,,,,
37,,911,0.42441433668136597,0.006626940798014402,4.484129931370262e-06,3.322729025967419e-05,0.03321012854576111,0.036613330245018005
,0.001,912,,,,,,
38,,935,0.4234957695007324,0.006360532250255346,3.979585471824976e-06,1.598222297616303e-05,0.03184259310364723,0.03613625466823578
