,beta
0,2.990000e-01
1,2.983398e-01
2,2.978311e-01
3,2.974151e-01
4,2.970643e-01
5,2.967627e-01
6,2.965004e-01
7,2.962703e-01
8,2.960671e-01
9,2.958874e-01
10,2.957275e-01
11,2.955849e-01
12,2.954571e-01
13,2.953422e-01
14,2.952389e-01
15,2.951457e-01
16,2.950614e-01
17,2.949851e-01
18,2.949165e-01
19,2.948542e-01
20,2.947976e-01
21,2.947460e-01
22,2.946982e-01
23,2.946543e-01
24,2.946137e-01
25,2.945759e-01
26,2.945411e-01
27,2.945087e-01
28,2.944788e-01
29,2.944509e-01
30,2.944253e-01
31,2.944017e-01
32,2.943802e-01
33,2.943606e-01
34,2.943428e-01
35,2.943267e-01
36,2.943121e-01
37,2.942989e-01
38,2.942870e-01
39,2.942763e-01
40,2.942666e-01
41,2.942579e-01
42,2.942500e-01
43,2.942428e-01
44,2.942362e-01
45,2.942302e-01
46,2.942246e-01
47,2.942195e-01
48,2.942147e-01
49,2.942102e-01
50,2.942061e-01
51,2.942023e-01
52,2.941988e-01
53,2.941956e-01
54,2.941926e-01
55,2.941898e-01
56,2.941873e-01
57,2.941850e-01
58,2.941830e-01
59,2.941811e-01
60,2.941795e-01
61,2.941780e-01
62,2.941766e-01
63,2.941754e-01
64,2.941743e-01
65,2.941732e-01
66,2.941723e-01
67,2.941714e-01
68,2.941704e-01
69,2.941696e-01
70,2.941688e-01
71,2.941680e-01
72,2.941672e-01
73,2.941664e-01
74,2.941657e-01
75,2.941650e-01
76,2.941643e-01
77,2.941636e-01
78,2.941630e-01
79,2.941625e-01
80,2.941619e-01
81,2.941615e-01
82,2.941610e-01
83,2.941606e-01
84,2.941602e-01
85,2.941598e-01
86,2.941594e-01
87,2.941590e-01
88,2.941586e-01
89,2.941583e-01
90,2.941579e-01
91,2.941574e-01
92,2.941570e-01
93,2.941566e-01
94,2.941562e-01
95,2.941558e-01
96,2.941554e-01
97,2.941551e-01
98,2.941548e-01
99,2.941544e-01
100,2.941541e-01
101,2.941538e-01
102,2.941534e-01
103,2.941530e-01
104,2.941526e-01
105,2.941523e-01
106,2.941519e-01
107,2.941515e-01
108,2.941511e-01
109,2.941507e-01
110,2.941504e-01
111,2.941500e-01
112,2.941497e-01
113,2.941493e-01
114,2.941490e-01
115,2.941487e-01
116,2.941484e-01
117,2.941480e-01
118,2.941477e-01
119,2.941474e-01
120,2.941471e-01
121,2.941467e-01
122,2.941464e-01
123,2.941460e-01
124,2.941456e-01
125,2.941453e-01
126,2.941449e-01
127,2.941446e-01
128,2.941442e-01
129,2.941439e-01
130,2.941436e-01
131,2.941433e-01
132,2.941430e-01
133,2.941427e-01
134,2.941424e-01
135,2.941421e-01
136,2.941417e-01
137,2.941414e-01
138,2.941411e-01
139,2.941407e-01
140,2.941404e-01
141,2.941402e-01
142,2.941399e-01
143,2.941396e-01
144,2.941392e-01
145,2.941389e-01
146,2.941386e-01
147,2.941383e-01
148,2.941380e-01
149,2.941376e-01
150,2.941373e-01
151,2.941370e-01
152,2.941366e-01
153,2.941363e-01
154,2.941359e-01
155,2.941356e-01
156,2.941352e-01
157,2.941349e-01
158,2.941346e-01
159,2.941342e-01
160,2.941339e-01
161,2.941336e-01
162,2.941332e-01
163,2.941329e-01
164,2.941326e-01
165,2.941323e-01
166,2.941320e-01
167,2.941317e-01
168,2.941313e-01
169,2.941310e-01
170,2.941307e-01
171,2.941304e-01
172,2.941300e-01
173,2.941296e-01
174,2.941292e-01
175,2.941289e-01
176,2.941285e-01
177,2.941281e-01
178,2.941278e-01
179,2.941275e-01
180,2.941271e-01
181,2.941268e-01
182,2.941265e-01
183,2.941262e-01
184,2.941258e-01
185,2.941255e-01
186,2.941251e-01
187,2.941248e-01
188,2.941245e-01
189,2.941241e-01
190,2.941237e-01
191,2.941234e-01
192,2.941231e-01
193,2.941228e-01
194,2.941224e-01
195,2.941221e-01
196,2.941218e-01
197,2.941214e-01
198,2.941211e-01
199,2.941207e-01
200,2.941204e-01
201,2.941201e-01
202,2.941198e-01
203,2.941194e-01
204,2.941191e-01
205,2.941188e-01
206,2.941185e-01
207,2.941182e-01
208,2.941179e-01
209,2.941176e-01
210,2.941173e-01
211,2.941170e-01
