,weight_pde,L_pde,weight_ic,L_ic,weight_data,L_data,total_loss
0,1.000000e-01,2.822775e-02,4.500000e-01,2.412783e-01,4.500000e-01,7.426372e-01,4.455847e-01
1,1.000000e-01,1.974942e-03,4.500000e-01,2.194809e-01,4.500000e-01,6.128800e-02,1.265435e-01
2,1.000000e-01,1.737211e-03,4.500000e-01,2.019335e-01,4.500000e-01,1.827712e-02,9.926847e-02
3,1.000000e-01,1.649781e-03,4.500000e-01,1.852017e-01,4.500000e-01,1.370580e-02,8.967336e-02
4,1.000000e-01,3.868957e-03,4.500000e-01,1.685401e-01,4.500000e-01,1.266567e-02,8.192950e-02
5,1.000000e-01,2.874722e-03,4.500000e-01,1.521320e-01,4.500000e-01,1.219212e-02,7.423335e-02
6,1.000000e-01,4.133299e-03,4.500000e-01,1.362370e-01,4.500000e-01,1.186058e-02,6.705724e-02
7,1.000000e-01,4.685325e-03,4.500000e-01,1.210924e-01,4.500000e-01,1.158309e-02,6.017252e-02
8,1.000000e-01,4.467224e-03,4.500000e-01,1.068696e-01,4.500000e-01,1.133652e-02,5.363949e-02
9,1.000000e-01,5.419039e-03,4.500000e-01,9.359100e-02,4.500000e-01,1.111402e-02,4.765917e-02
10,1.000000e-01,4.213048e-03,4.500000e-01,8.114484e-02,4.500000e-01,1.091366e-02,4.184763e-02
11,1.000000e-01,4.619246e-03,4.500000e-01,6.958020e-02,4.500000e-01,1.073512e-02,3.660382e-02
12,1.000000e-01,3.622545e-03,4.500000e-01,5.913920e-02,4.500000e-01,1.057838e-02,3.173517e-02
13,1.000000e-01,2.829258e-03,4.500000e-01,4.996407e-02,4.500000e-01,1.044326e-02,2.746622e-02
14,1.000000e-01,3.493609e-03,4.500000e-01,4.193584e-02,4.500000e-01,1.032906e-02,2.386857e-02
15,1.000000e-01,2.551495e-03,4.500000e-01,3.486781e-02,4.500000e-01,1.023449e-02,2.055119e-02
16,1.000000e-01,2.474034e-03,4.500000e-01,2.868465e-02,4.500000e-01,1.015783e-02,1.772652e-02
17,1.000000e-01,2.477215e-03,4.500000e-01,2.347415e-02,4.500000e-01,1.009703e-02,1.535475e-02
18,1.000000e-01,2.100858e-03,4.500000e-01,1.928430e-02,4.500000e-01,1.004992e-02,1.341048e-02
19,1.000000e-01,1.573393e-03,4.500000e-01,1.584470e-02,4.500000e-01,1.001439e-02,1.179393e-02
20,1.000000e-01,1.269922e-03,4.500000e-01,1.289067e-02,4.500000e-01,9.988476e-03,1.042261e-02
21,1.000000e-01,5.732443e-04,4.500000e-01,1.051345e-02,4.500000e-01,9.970346e-03,9.275031e-03
22,1.000000e-01,7.304475e-04,4.500000e-01,8.712631e-03,4.500000e-01,9.958372e-03,8.474995e-03
23,1.000000e-01,5.161426e-04,4.500000e-01,7.206959e-03,4.500000e-01,9.951114e-03,7.772747e-03
24,1.000000e-01,6.660178e-04,4.500000e-01,5.896198e-03,4.500000e-01,9.947386e-03,7.196214e-03
25,1.000000e-01,9.310255e-04,4.500000e-01,4.930708e-03,4.500000e-01,9.946247e-03,6.787732e-03
26,1.000000e-01,8.124317e-04,4.500000e-01,4.216684e-03,4.500000e-01,9.946970e-03,6.454888e-03
27,1.000000e-01,9.367183e-04,4.500000e-01,3.516560e-03,4.500000e-01,9.949001e-03,6.153174e-03
28,1.000000e-01,8.588645e-04,4.500000e-01,2.953715e-03,4.500000e-01,9.951898e-03,5.893412e-03
29,1.000000e-01,7.287204e-04,4.500000e-01,2.579531e-03,4.500000e-01,9.955320e-03,5.713555e-03
30,1.000000e-01,4.260480e-04,4.500000e-01,2.227558e-03,4.500000e-01,9.959016e-03,5.526563e-03
