# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.186776123046875000e+03 3.190024658203125000e+03 1.000632762908935547e+00
1.000000000000000000e+03 1.826043212890625000e+03 1.827052001953125000e+03 7.572742700576782227e-01
2.000000000000000000e+03 1.814844238281250000e+03 1.815663452148437500e+03 7.549105286598205566e-01
3.000000000000000000e+03 1.814625976562500000e+03 1.815446533203125000e+03 7.548652291297912598e-01
4.000000000000000000e+03 1.814560058593750000e+03 1.815379394531250000e+03 7.548513412475585938e-01
5.000000000000000000e+03 2.704520568847656250e+02 2.707994384765625000e+02 2.915423214435577393e-01
6.000000000000000000e+03 4.720556259155273438e+01 4.725955963134765625e+01 1.217930614948272705e-01
7.000000000000000000e+03 9.543192863464355469e+00 9.545602798461914062e+00 5.473680794239044189e-02
8.000000000000000000e+03 2.345870018005371094e+00 2.498756408691406250e+00 2.800526842474937439e-02
9.000000000000000000e+03 8.357498049736022949e-01 8.487086296081542969e-01 1.632138527929782867e-02
1.000000000000000000e+04 2.883924543857574463e-01 3.413814902305603027e-01 1.035136822611093521e-02
1.100000000000000000e+04 8.915141224861145020e-02 1.461893171072006226e-01 6.773849949240684509e-03
1.200000000000000000e+04 4.007013514637947083e-02 6.652762740850448608e-02 4.569606389850378036e-03
1.300000000000000000e+04 5.386588163673877716e-03 4.067701846361160278e-02 3.573158988729119301e-03
1.400000000000000000e+04 1.373268780298531055e-03 4.614944383502006531e-02 3.805931890383362770e-03
1.500000000000000000e+04 1.940354704856872559e-03 4.959945753216743469e-02 3.945629112422466278e-03
1.600000000000000000e+04 1.820151810534298420e-04 5.442025139927864075e-02 4.132929723709821701e-03
1.700000000000000000e+04 1.045259996317327023e-04 5.897350236773490906e-02 4.302354529500007629e-03
1.800000000000000000e+04 1.480726205045357347e-04 6.425206363201141357e-02 4.490775521844625473e-03
1.900000000000000000e+04 5.612558015855029225e-05 6.753448396921157837e-02 4.604056011885404587e-03
2.000000000000000000e+04 4.757070200867019594e-05 7.376059889793395996e-02 4.811604972928762436e-03
2.100000000000000000e+04 3.966379517805762589e-05 7.365760952234268188e-02 4.808244761079549789e-03
2.200000000000000000e+04 3.519780511851422489e-05 7.634931057691574097e-02 4.895311780273914337e-03
2.300000000000000000e+04 3.215515243937261403e-05 8.027608692646026611e-02 5.019620526582002640e-03
2.400000000000000000e+04 2.964703890029340982e-05 8.329272270202636719e-02 5.113065242767333984e-03
2.500000000000000000e+04 2.617846621433272958e-05 8.324724435806274414e-02 5.111668724566698074e-03
2.600000000000000000e+04 2.560557732067536563e-05 8.994184434413909912e-02 5.313230678439140320e-03
2.700000000000000000e+04 2.493501597200520337e-05 9.335467219352722168e-02 5.413096398115158081e-03
2.800000000000000000e+04 2.301413769600912929e-05 9.330060333013534546e-02 5.411528050899505615e-03
2.900000000000000000e+04 2.263706664962228388e-05 9.691295027732849121e-02 5.515294149518013000e-03
3.000000000000000000e+04 2.205997770943213254e-05 9.936714917421340942e-02 5.584689788520336151e-03
3.100000000000000000e+04 2.209839840361382812e-05 1.036666408181190491e-01 5.704232957214117050e-03
3.200000000000000000e+04 2.102515645674429834e-05 1.036337167024612427e-01 5.703326780349016190e-03
3.300000000000000000e+04 2.145348298654425889e-05 1.085029542446136475e-01 5.835774354636669159e-03
3.400000000000000000e+04 2.062962994386907667e-05 1.084757745265960693e-01 5.835043732076883316e-03
3.500000000000000000e+04 2.135425893357023597e-05 1.151966080069541931e-01 6.013088393956422806e-03
3.600000000000000000e+04 2.063449028355535120e-05 1.151802465319633484e-01 6.012661382555961609e-03
3.700000000000000000e+04 2.148824205505661666e-05 1.209760755300521851e-01 6.162081845104694366e-03
3.800000000000000000e+04 2.080482227029278874e-05 1.209611967206001282e-01 6.161702796816825867e-03
3.900000000000000000e+04 2.151583066734019667e-05 1.260235607624053955e-01 6.289319135248661041e-03
4.000000000000000000e+04 4.568562144413590431e-04 1.298577785491943359e-01 6.384277250617742538e-03
4.100000000000000000e+04 2.156433583877515048e-05 1.294531673192977905e-01 6.374323274940252304e-03
4.200000000000000000e+04 2.257331470900680870e-05 1.348826438188552856e-01 6.506625097244977951e-03
4.300000000000000000e+04 2.171914638893213123e-05 1.348511725664138794e-01 6.505865138024091721e-03
4.400000000000000000e+04 2.222635885118506849e-05 1.386608928442001343e-01 6.597124971449375153e-03
4.500000000000000000e+04 4.884808883070945740e-02 1.823096275329589844e-01 7.564540952444076538e-03
4.600000000000000000e+04 2.218357440142426640e-05 1.421482861042022705e-01 6.679569371044635773e-03
4.700000000000000000e+04 2.244842471554875374e-05 1.434487104415893555e-01 6.710054352879524231e-03
4.800000000000000000e+04 2.395121373410802335e-05 1.513676047325134277e-01 6.892776116728782654e-03
4.900000000000000000e+04 2.223881710960995406e-05 1.519452333450317383e-01 6.905916146934032440e-03
5.000000000000000000e+04 2.271573248435743153e-05 1.523748487234115601e-01 6.915672682225704193e-03
