epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,0.001,0,,,,,,
0,,31,0.4898436665534973,0.01670239493250847,0.07539593428373337,0.016653845086693764,0.10875218361616135,
,0.001,32,,,,,,
1,,63,0.4820643365383148,0.021619264036417007,0.0001309658691752702,0.0012585745425894856,0.02300880290567875,
,0.001,64,,,,,,
2,,95,0.47695016860961914,0.007917637005448341,5.9241894632577896e-05,0.0004165051504969597,0.008393384516239166,
,0.001,96,,,,,,
3,,127,0.4709034264087677,0.005806329660117626,1.1606877706071828e-05,8.302041533170268e-05,0.005900955758988857,
,0.001,128,,,,,,
4,,159,0.46722713112831116,0.008369461633265018,9.024164683069102e-06,5.90818453929387e-05,0.008437569253146648,
,0.001,160,,,,,,
5,,191,0.4632921516895294,0.007555667776614428,7.391292911052005e-06,3.879331052303314e-05,0.007601852994412184,
,0.001,192,,,,,,
6,,223,0.45931753516197205,0.0055025313049554825,5.7366714827367105e-06,3.878931238432415e-05,0.0055470578372478485,
,0.001,224,,,,,,
7,,255,0.45619386434555054,0.005773358047008514,4.400145371619146e-06,2.791015685943421e-05,0.005805669352412224,
,0.001,256,,,,,,
8,,287,0.45285165309906006,0.006567887030541897,3.7253191749186954e-06,3.10079449263867e-05,0.006602620705962181,
,0.001,288,,,,,,
9,,319,0.4491446614265442,0.005788267124444246,3.0259561754064634e-06,3.312129410915077e-05,0.005824413616210222,
,0.001,320,,,,,,
10,,351,0.4451678693294525,0.006316302344202995,2.948909923361498e-06,2.6195681130047888e-05,0.006345449015498161,
,0.001,352,,,,,,
11,,383,0.4419155418872833,0.005371748004108667,2.5317763174825814e-06,2.1616617232211865e-05,0.005395897198468447,
,0.001,384,,,,,,
12,,415,0.43825802206993103,0.007551528047770262,2.298349272678024e-06,2.519201188988518e-05,0.007579017896205187,
,0.001,416,,,,,,
13,,447,0.43644383549690247,0.007005686406046152,1.3959753459857893e-06,2.0347770259832032e-05,0.007027430459856987,
,0.001,448,,,,,,
14,,479,0.4363499879837036,0.009588885121047497,1.7237116480828263e-06,3.962998562201392e-06,0.009594571776688099,
,0.001,480,,,,,,
