epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.474078893661499,0.016219286248087883,0.041130706667900085,0.0037619387730956078,0.0611119419336319,,0.8924974799156189
,,0.001,61,,,,,,,
1,,,121,0.4563792049884796,0.008483187295496464,3.2935600756900385e-05,1.1811213880719151e-05,0.008527933619916439,,0.5577276945114136
,,0.001,122,,,,,,,
2,,,182,0.4527481496334076,0.006636082660406828,3.829838533420116e-05,4.7942685341695324e-05,0.006722324527800083,,0.4113578200340271
,,0.001,183,,,,,,,
3,,,243,0.44495323300361633,0.0046741352416574955,3.419682616367936e-05,3.31944647768978e-05,0.004741525277495384,,0.3975350856781006
,,0.001,244,,,,,,,
4,,,304,0.44030702114105225,0.0066879563964903355,2.6551168048172258e-05,2.6042664103442803e-05,0.006740550044924021,,0.5435656905174255
,,0.001,305,,,,,,,
5,,,365,0.43294593691825867,0.006023023277521133,2.9740729587501846e-05,2.0676958229159936e-05,0.00607344089075923,,0.42494824528694153
,,0.001,366,,,,,,,
6,,,426,0.42708930373191833,0.005684488918632269,2.228379889857024e-05,2.0099889297853224e-05,0.005726873874664307,,0.3617331385612488
,,0.001,427,,,,,,,
7,,,487,0.420892596244812,0.005996355786919594,1.7493868654128164e-05,1.3198411579651292e-05,0.006027047988027334,,0.31833139061927795
,,0.001,488,,,,,,,
8,,,548,0.41544288396835327,0.006814419757574797,1.4490979083348066e-05,2.074203257507179e-05,0.006849654484540224,,0.46343284845352173
,,0.001,549,,,,,,,
9,,,609,0.41076409816741943,0.004655093885958195,1.1615000403253362e-05,1.2366666851448826e-05,0.004679074510931969,,0.5036241412162781
,,0.001,610,,,,,,,
10,,,670,0.4061664342880249,0.00456780893728137,8.949970833782572e-06,8.29461441753665e-06,0.00458505330607295,,0.3765994906425476
,,0.001,671,,,,,,,
11,,,731,0.40156716108322144,0.006338152568787336,8.3588665802381e-06,1.7021564417518675e-05,0.006363532971590757,,0.41266900300979614
,,0.001,732,,,,,,,
12,,,792,0.39404019713401794,0.004906021524220705,7.622492375958245e-06,9.17879879125394e-06,0.004922821652144194,,0.33990272879600525
,,0.001,793,,,,,,,
13,,,853,0.3885936439037323,0.004250525496900082,6.40972439214238e-06,8.446500032732729e-06,0.004265382420271635,,0.3769349157810211
,,0.001,854,,,,,,,
14,,,914,0.3837777078151703,0.005245658569037914,5.785921530332416e-06,1.0712466973927803e-05,0.005262157414108515,,0.5908753871917725
,,0.001,915,,,,,,,
15,,,975,0.3782207667827606,0.005546188913285732,5.058417627878953e-06,1.0018602552008815e-05,0.005561266094446182,,0.3759426772594452
,,0.001,976,,,,,,,
16,,,1036,0.37231871485710144,0.006420931313186884,4.6209856918721925e-06,8.831128980091307e-06,0.006434382870793343,,0.29412615299224854
,,0.001,1037,,,,,,,
17,,,1097,0.3674139380455017,0.0047944397665560246,4.174044988758396e-06,5.725891696783947e-06,0.004804340191185474,,0.4468032419681549
,,0.001,1098,,,,,,,
18,,,1158,0.3628055453300476,0.006146133411675692,4.092267317901133e-06,1.0406406545371283e-05,0.006160632241517305,,0.41095438599586487
,,0.001,1159,,,,,,,
19,,,1219,0.35723966360092163,0.0046734935604035854,3.477833615761483e-06,6.735469924024073e-06,0.0046837059780955315,,0.3742310106754303
,,0.001,1220,,,,,,,
20,,,1280,0.352568119764328,0.005483038257807493,3.3380354125256417e-06,6.742695859429659e-06,0.00549311563372612,,0.293610155582428
,,0.001,1281,,,,,,,
21,,,1341,0.3482358455657959,0.0055988808162510395,3.245424977649236e-06,6.2919848460296635e-06,0.005608418025076389,,0.32989978790283203
,,0.001,1342,,,,,,,
22,,,1402,0.34425806999206543,0.005697053857147694,3.286353376097395e-06,6.468063020292902e-06,0.005706807132810354,,0.2853689193725586
,,0.001,1403,,,,,,,
23,,,1463,0.33993861079216003,0.007085980381816626,3.5231139463576255e-06,8.809740393189713e-06,0.0070983110927045345,,0.3768788278102875
,,0.001,1464,,,,,,,
24,,,1524,0.33626848459243774,0.005502188112586737,3.709408019858529e-06,5.513566065928899e-06,0.005511411465704441,,0.41371557116508484
,,0.001,1525,,,,,,,
25,,,1585,0.33204522728919983,0.003997144289314747,3.983798706030939e-06,6.48085597276804e-06,0.004007608164101839,,0.4052017629146576
,,0.001,1586,,,,,,,
26,,,1646,0.32838353514671326,0.004425359889864922,4.182456450507743e-06,5.230072019912768e-06,0.004434772301465273,,0.43965765833854675
,,0.001,1647,,,,,,,
27,,,1707,0.32459452748298645,0.004290627781301737,4.996644292987185e-06,6.334281351882964e-06,0.004301959183067083,,0.47031673789024353
,,0.001,1708,,,,,,,
28,,,1768,0.31995856761932373,0.0040975227020680904,1.0496959475858603e-05,1.2493881513364613e-05,0.004120514262467623,,0.4427507221698761
,,0.001,1769,,,,,,,
