epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,
0,,,31,0.49492621421813965,0.0626048743724823,0.0699256956577301,0.009202810004353523,0.5042614340782166,
,,0.001,32,,,,,,
1,,,63,0.4988601803779602,0.010355308651924133,9.657152986619622e-05,5.465769208967686e-05,0.011384743265807629,
,,0.001,64,,,,,,
2,,,95,0.49962419271469116,0.010194683447480202,2.504022859284305e-06,1.3074291928205639e-05,0.010337946005165577,
,,0.001,96,,,,,,
3,,,127,0.499632865190506,0.008114799857139587,2.412589026334899e-07,5.361262537917355e-06,0.008169617503881454,
,,0.001,128,,,,,,
4,,,159,0.4996078312397003,0.011471380479633808,2.1639516489813104e-07,6.176146143843653e-06,0.011534225195646286,
,,0.001,160,,,,,,
5,,,191,0.4995826184749603,0.009926164522767067,1.8316868022338895e-07,5.104553565615788e-06,0.009978124871850014,
,,0.001,192,,,,,,
6,,,223,0.49955710768699646,0.009915980510413647,1.692919795459602e-07,1.5423568129335763e-06,0.009932250715792179,
,,0.001,224,,,,,,
7,,,255,0.499531626701355,0.009322513826191425,1.5786186224886478e-07,1.5967322042342857e-06,0.009339270181953907,
,,0.001,256,,,,,,
8,,,287,0.49950745701789856,0.008634400554001331,1.4849042884179653e-07,7.72829139350506e-07,0.008642870001494884,
,,0.001,288,,,,,,
9,,,319,0.4994840919971466,0.008125446736812592,1.3897434314458224e-07,8.207443329411035e-07,0.008134348317980766,
,,0.001,320,,,,,,
10,,,351,0.4994615912437439,0.00645332969725132,1.3280411792493396e-07,1.2852884765379713e-06,0.006466846447438002,
,,0.001,352,,,,,,
11,,,383,0.4994405210018158,0.009296204894781113,1.345281219755634e-07,3.395705334696686e-06,0.00933083239942789,
,,0.001,384,,,,,,
12,,,415,0.49941977858543396,0.008768844418227673,1.3393892572821642e-07,3.385024001545389e-06,0.008803363889455795,
,,0.001,416,,,,,,
13,,,447,0.4993989169597626,0.0075928084552288055,1.1944861455503997e-07,1.5002599411673145e-06,0.007608409505337477,
,,0.001,448,,,,,,
14,,,479,0.4993780255317688,0.008056222461163998,1.1416790357543505e-07,8.525356633981573e-07,0.008065319620072842,
,,0.001,480,,,,,,
15,,,511,0.4993579685688019,0.012563194148242474,1.0696528107700942e-07,8.387839898205129e-07,0.012572120875120163,
,,0.001,512,,,,,,
