epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.48998764157295227,0.0414019450545311,0.17683452367782593,0.00793133582919836,0.22616781294345856,,0.5340461730957031
,,0.001,61,,,,,,,
1,,,121,0.47121867537498474,0.006865236442536116,0.0001901228679344058,0.0007640484254807234,0.007819409482181072,,0.487291157245636
,,0.001,122,,,,,,,
2,,,182,0.4509052336215973,0.0074712070636451244,0.00018328861915506423,0.0006965966895222664,0.008351092226803303,,0.4378519058227539
,,0.001,183,,,,,,,
3,,,243,0.43594303727149963,0.005925288889557123,5.349163984647021e-05,0.0004242203722242266,0.006403001490980387,,0.38902080059051514
,,0.001,244,,,,,,,
4,,,304,0.41539961099624634,0.008799687027931213,1.3897924873162992e-05,0.0006679812795482576,0.009481566026806831,,0.556965172290802
,,0.001,305,,,,,,,
5,,,365,0.3889859914779663,0.008311600424349308,7.019678741926327e-05,0.0005353855667635798,0.008917181752622128,,0.43300628662109375
,,0.001,366,,,,,,,
6,,,426,0.3714533746242523,0.008224429562687874,4.359294325695373e-05,0.0005347241531126201,0.008802746422588825,,0.5311435461044312
,,0.001,427,,,,,,,
7,,,487,0.34589558839797974,0.008015726692974567,0.00010022794594988227,0.00038157773087732494,0.008497531525790691,,0.47795549035072327
,,0.001,488,,,,,,,
8,,,548,0.33016258478164673,0.006466611288487911,0.0001661353453528136,8.952186180977151e-05,0.006722268648445606,,0.5229911208152771
,,0.001,549,,,,,,,
9,,,609,0.3225339651107788,0.009131120517849922,0.00019448131206445396,0.00018541590543463826,0.009511017240583897,,0.5954910516738892
,,0.001,610,,,,,,,
10,,,670,0.30704382061958313,0.009822504594922066,8.75625919434242e-05,0.0003939569287467748,0.010304025374352932,,0.7026988863945007
,,0.001,671,,,,,,,
11,,,731,0.2920910716056824,0.007174285128712654,2.5917239327100106e-05,0.0002526678144931793,0.007452870719134808,,0.626710832118988
,,0.001,732,,,,,,,
12,,,792,0.28228017687797546,0.009163114242255688,0.0001227311004186049,0.00021769622981082648,0.009503539651632309,,0.6200735569000244
,,0.001,793,,,,,,,
13,,,853,0.2752365469932556,0.006527945399284363,4.805540447705425e-05,9.611673885956407e-05,0.00667211739346385,,0.5567983388900757
,,0.001,854,,,,,,,
14,,,914,0.26609915494918823,0.004749548155814409,0.00016057367611210793,8.252946281572804e-05,0.004992651287466288,,0.5599430203437805
,,0.001,915,,,,,,,
15,,,975,0.25776463747024536,0.005718314554542303,0.0005042781704105437,0.0002481913543306291,0.006470786407589912,,0.49346956610679626
,,0.001,976,,,,,,,
16,,,1036,0.247270405292511,0.009051987901329994,2.7895554012502544e-05,0.0002535255625844002,0.009333409368991852,,0.4288763701915741
,,0.001,1037,,,,,,,
17,,,1097,0.23434928059577942,0.007491575088351965,7.5595480666379444e-06,0.0001507944834884256,0.007649929262697697,,0.6526044011116028
,,0.001,1098,,,,,,,
18,,,1158,0.22221019864082336,0.007504457142204046,6.988115637796e-05,6.181904609547928e-05,0.007636156398802996,,0.5856192111968994
,,0.001,1159,,,,,,,
19,,,1219,0.21728964149951935,0.0067903995513916016,0.00011688797530950978,0.00016594238695688546,0.007073231041431427,,0.7693137526512146
,,0.001,1220,,,,,,,
20,,,1280,0.19983597099781036,0.009630025364458561,0.0005051267798990011,0.00011989987251581624,0.010255052708089352,,0.6430914998054504
,,0.001,1281,,,,,,,
21,,,1341,0.1948794573545456,0.00553744425997138,3.799403566517867e-05,2.2116217223810963e-05,0.0055975536815822124,,0.6429769396781921
,,0.001,1342,,,,,,,
