epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,0.001,0,,,,,,,
0,,60,0.49577003717422485,0.008800280280411243,0.15868008136749268,0.002953966148197651,0.17043432593345642,,0.42839258909225464
,0.001,61,,,,,,,
1,,121,0.480125367641449,0.006833579391241074,0.00023897649953141809,0.0009689794387668371,0.00804153736680746,,0.53066086769104
,0.001,122,,,,,,,
2,,182,0.46248865127563477,0.012602576985955238,0.00015280746447388083,0.0013481982750818133,0.014103581197559834,,0.46145352721214294
,0.001,183,,,,,,,
3,,243,0.4344404339790344,0.009403957054018974,6.965265492908657e-05,0.0012975463178008795,0.010771151632070541,,0.4081660509109497
,0.001,244,,,,,,,
4,,304,0.40236029028892517,0.007515559904277325,9.088413207791746e-06,0.0006224614335224032,0.008147109299898148,,0.3817582130432129
,0.001,305,,,,,,,
5,,365,0.380233496427536,0.006983855273574591,1.7655667761573568e-05,0.0008024942362681031,0.00780400400981307,,0.38432589173316956
,0.001,366,,,,,,,
6,,426,0.3632892668247223,0.014997185207903385,9.004661114886403e-05,0.0013060254277661443,0.016393257305026054,,0.3921357989311218
,0.001,427,,,,,,,
7,,487,0.3433747887611389,0.009271572344005108,0.00024160581233445555,0.0005375962937250733,0.010050772689282894,,0.4157273471355438
,0.001,488,,,,,,,
8,,548,0.3344160318374634,0.007188802119344473,0.000245230330619961,0.0004791976243723184,0.007913229987025261,,0.5262318849563599
,0.001,549,,,,,,,
9,,609,0.3239312767982483,0.005743231158703566,3.4923432394862175e-05,0.0001436227757949382,0.005921776872128248,,0.4497798979282379
,0.001,610,,,,,,,
10,,670,0.3113557696342468,0.01051152590662241,9.746244177222252e-05,0.00030990285449661314,0.010918893851339817,,0.5016283988952637
,0.001,671,,,,,,,
11,,731,0.29863905906677246,0.00796724297106266,0.0004074503085575998,0.00040255379281006753,0.008777246810495853,,0.5489130616188049
,0.001,732,,,,,,,
12,,792,0.28970572352409363,0.010275021195411682,8.397024430450983e-06,0.0005495761870406568,0.010832995176315308,,0.4323278069496155
,0.001,793,,,,,,,
13,,853,0.28178244829177856,0.006250240374356508,8.671550313010812e-05,0.00012182480713818222,0.006458782125264406,,0.5105673670768738
,0.001,854,,,,,,,
14,,914,0.2737877666950226,0.009007042273879051,0.00043070674291811883,9.366689482703805e-05,0.009531416930258274,,0.5688443779945374
,0.001,915,,,,,,,
15,,975,0.26457855105400085,0.006838489789515734,3.0072878871578723e-05,6.608717376366258e-05,0.006934647914022207,,0.5589428544044495
,0.001,976,,,,,,,
16,,1036,0.2562772035598755,0.007417357061058283,1.1977831491094548e-05,7.304616883629933e-05,0.007502381689846516,,0.5027604699134827
,0.001,1037,,,,,,,
17,,1097,0.24542026221752167,0.006711391266435385,3.1580886570736766e-05,0.00019637553486973047,0.006939348764717579,,0.6415244936943054
,0.001,1098,,,,,,,
18,,1158,0.23361323773860931,0.008411945775151253,4.5199707528809085e-05,0.0005689072422683239,0.009026052430272102,,0.6196650862693787
,0.001,1159,,,,,,,
19,,1219,0.23056745529174805,0.007111997809261084,6.916595157235861e-05,6.177835894050077e-05,0.007242940831929445,,0.5491394996643066
,0.001,1220,,,,,,,
20,,1280,0.22665797173976898,0.005425812676548958,7.414542051265016e-05,5.96003737882711e-05,0.005559558980166912,,0.5557591915130615
,0.001,1281,,,,,,,
21,,1341,0.22354485094547272,0.006558423861861229,9.556021041134954e-07,2.098551340168342e-05,0.006580365356057882,,0.5737364292144775
,0.001,1342,,,,,,,
22,,1402,0.21821478009223938,0.006000704597681761,9.30213718675077e-05,5.6880857300711796e-05,0.0061506046913564205,,0.5362614393234253
,0.001,1403,,,,,,,
23,,1463,0.21674983203411102,0.004049505107104778,7.619933603564277e-05,2.4827008019201458e-05,0.004150531720370054,,0.6028288006782532
,0.001,1464,,,,,,,
24,,1524,0.21417763829231262,0.003634409513324499,0.00012441407307051122,3.4632696042535827e-05,0.0037934565916657448,,0.5629119873046875
,0.001,1525,,,,,,,
25,,1585,0.20881055295467377,0.00302440975792706,6.893783574923873e-05,7.087747508194298e-05,0.003164225025102496,,0.3956710696220398
,0.001,1586,,,,,,,
26,,1646,0.20662467181682587,0.002295591402798891,1.2608395991264842e-05,0.00010781163291539997,0.0024160114116966724,,0.4343875050544739
,0.001,1647,,,,,,,
27,,1707,0.20550774037837982,0.0035081678070127964,7.496985745092388e-06,0.00011397282651159912,0.0036296374164521694,,0.4806223213672638
,0.001,1708,,,,,,,
28,,1768,0.2078448385000229,0.0076246969401836395,9.508185758022591e-05,0.00021377857774496078,0.007933559827506542,,0.5633758306503296
,0.001,1769,,,,,,,
29,,1829,0.20058830082416534,0.010197684168815613,8.825008262647316e-05,0.0002246325311716646,0.010510566644370556,,0.5907385349273682
,0.001,1830,,,,,,,
30,,1890,0.19605915248394012,0.010988105088472366,8.651616371935233e-05,0.00026906089624390006,0.011343683116137981,,0.5586362481117249
,0.001,1891,,,,,,,
31,,1951,0.1916143000125885,0.009818639606237411,0.00043874760740436614,0.00028077641036361456,0.010538164526224136,,0.5441932678222656
,0.001,1952,,,,,,,
32,,2012,0.19574594497680664,0.002451186068356037,0.000206364959012717,6.915192352607846e-05,0.0027267031837254763,,0.4399431049823761
,0.001,2013,,,,,,,
33,,2073,0.19140055775642395,0.0016941793728619814,7.64992946642451e-05,8.368999988306314e-05,0.0018543682526797056,,0.5410553812980652
,0.001,2074,,,,,,,
34,,2134,0.19304907321929932,0.001774798845872283,0.00087507045827806,8.19022097857669e-05,0.0027317723724991083,,0.43524518609046936
,0.001,2135,,,,,,,
