epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/si_re,train/total_loss
,0.001,0,,,,,,
0,,60,0.48690831661224365,0.006264580879360437,0.1440495103597641,0.005081651266664267,0.531641960144043,0.15539579093456268
,0.001,61,,,,,,
1,,121,0.4695301055908203,0.00704723596572876,0.0002851921017281711,0.001773382187820971,0.3890090882778168,0.009105809964239597
,0.001,122,,,,,,
2,,182,0.44359999895095825,0.009109173901379108,6.594110891455784e-05,0.0005243433406576514,0.623203456401825,0.009699458256363869
,0.001,183,,,,,,
3,,243,0.4162064492702484,0.007933037355542183,6.974261395953363e-06,0.0004999843658879399,0.392850399017334,0.008439996279776096
,0.001,244,,,,,,
4,,304,0.4008372128009796,0.006739255506545305,7.49599130358547e-05,0.00028791738441213965,0.6714379191398621,0.007102132774889469
,0.001,305,,,,,,
5,,365,0.38253363966941833,0.005786767229437828,0.00012441417493391782,0.0002492658677510917,0.6629720330238342,0.006160449236631393
,0.001,366,,,,,,
6,,426,0.37203556299209595,0.006689797155559063,0.0003760714316740632,0.00013621553080156446,0.36465466022491455,0.007202085107564926
,0.001,427,,,,,,
7,,487,0.360605925321579,0.005804406479001045,0.00024406719603575766,0.00031500085606239736,0.4565286636352539,0.006363472435623407
,0.001,488,,,,,,
8,,548,0.3500155210494995,0.007180932909250259,0.0003241504018660635,0.00011019880184903741,0.4167795181274414,0.007615282665938139
,0.001,549,,,,,,
9,,609,0.3373293876647949,0.0064048427157104015,1.686548421275802e-05,0.00011776312749134377,0.5514745712280273,0.006539471447467804
,0.001,610,,,,,,
10,,670,0.32428213953971863,0.005946072284132242,0.0003811175702139735,0.00024501545703969896,0.4916522800922394,0.006572206038981676
,0.001,671,,,,,,
11,,731,0.31033116579055786,0.005678488872945309,0.00014931120676919818,0.0003593939763959497,0.5268433690071106,0.006187195423990488
,0.001,732,,,,,,
12,,792,0.298561692237854,0.006086910143494606,6.410715286619961e-06,9.16487115318887e-05,0.6074670553207397,0.006184971425682306
,0.001,793,,,,,,
13,,853,0.2861153483390808,0.008088837377727032,1.3931497051089536e-05,8.286351658171043e-05,0.4198373556137085,0.008185633458197117
,0.001,854,,,,,,
14,,914,0.2589190602302551,0.009450293146073818,0.00021709028806071728,0.00021232695144135505,0.4231143295764923,0.009879708290100098
,0.001,915,,,,,,
15,,975,0.24699503183364868,0.005497134756296873,0.00012131231051171198,0.0001370444369968027,0.5347237586975098,0.005755490157753229
,0.001,976,,,,,,
16,,1036,0.23848339915275574,0.0064289020374417305,1.9529383280314505e-05,3.76552197849378e-05,0.6351556777954102,0.006486085709184408
,0.001,1037,,,,,,
17,,1097,0.23094211518764496,0.008847835473716259,0.00011137955152662471,9.166237578028813e-05,0.48715728521347046,0.009050877764821053
,0.001,1098,,,,,,
18,,1158,0.21857039630413055,0.0060801212675869465,0.00019858991436194628,0.00025784262106753886,0.5001843571662903,0.006536554079502821
,0.001,1159,,,,,,
19,,1219,0.21198159456253052,0.00596407288685441,4.554483894025907e-05,0.0006602914072573185,0.5109006762504578,0.006669908296316862
,0.001,1220,,,,,,
20,,1280,0.20411363244056702,0.009334905073046684,0.0010704881278797984,0.000333907752064988,0.6604589223861694,0.010739300400018692
,0.001,1281,,,,,,
21,,1341,0.20501397550106049,0.006300775334239006,0.0002248224918730557,2.5644785637268797e-05,0.6841294169425964,0.006551242899149656
,0.001,1342,,,,,,
22,,1402,0.20492008328437805,0.006314139347523451,6.93920867433917e-07,1.927138328028377e-05,0.5626630187034607,0.00633410457521677
,0.001,1403,,,,,,
23,,1463,0.2015116959810257,0.006826567463576794,4.414544946484966e-06,2.3398317352985032e-05,0.7516884207725525,0.006854379549622536
