epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss
,0.0001,0,,,,,
0,,60,0.4958628714084625,0.01274364534765482,0.19497635960578918,0.016919046640396118,0.33933186531066895
,0.0001,61,,,,,
1,,121,0.49160826206207275,0.012570763938128948,0.16971918940544128,0.02291754260659218,0.3183443546295166
,0.0001,122,,,,,
2,,182,0.4866577684879303,0.006791433785110712,0.14459340274333954,0.010943807661533356,0.22345155477523804
,0.0001,183,,,,,
3,,243,0.4817692041397095,0.0,0.1209016740322113,0.020585590973496437,0.1414872705936432
,0.0001,244,,,,,
4,,304,0.47702768445014954,0.00331704830750823,0.09932538866996765,0.014126775786280632,0.1466226577758789
,0.0001,305,,,,,
5,,365,0.47263607382774353,0.0027811171021312475,0.08194322884082794,0.018918942660093307,0.12867334485054016
,0.0001,366,,,,,
6,,426,0.46859467029571533,0.00204778416082263,0.06759794801473618,0.01145334541797638,0.09952913224697113
,0.0001,427,,,,,
7,,487,0.4648086428642273,0.0020659908186644316,0.055636756122112274,0.012009603902697563,0.08830627053976059
,0.0001,488,,,,,
