epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss
,0.0001,0,,,,,
0,,60,0.4967010021209717,0.049956969916820526,0.1987473964691162,0.007117812521755695,0.7054349184036255
,0.0001,61,,,,,
1,,121,0.4937652349472046,0.022551249712705612,0.17768508195877075,0.016608519479632378,0.4198061227798462
,0.0001,122,,,,,
2,,182,0.489838570356369,0.012418980710208416,0.15578001737594604,0.009653376415371895,0.2896232008934021
,0.0001,183,,,,,
3,,243,0.4854220747947693,0.006770065985620022,0.1382821798324585,0.018914803862571716,0.22489765286445618
,0.0001,244,,,,,
4,,304,0.4809357523918152,0.002993940841406584,0.12122039496898651,0.014521763660013676,0.16568157076835632
,0.0001,305,,,,,
5,,365,0.47640344500541687,0.008176487870514393,0.1065557599067688,0.014535117894411087,0.20285575091838837
,0.0001,366,,,,,
6,,426,0.47188785672187805,0.05347099527716637,0.09372858703136444,0.012666523456573486,0.641105055809021
,0.0001,427,,,,,
7,,487,0.46762731671333313,1.0419572618047823e-06,0.0834464430809021,0.010792454704642296,0.09424931555986404
,0.0001,488,,,,,
8,,548,0.4634528160095215,0.037356212735176086,0.07327772676944733,0.012389522977173328,0.45922937989234924
,0.0001,549,,,,,
9,,609,0.45950835943222046,0.003606239100918174,0.06451620161533356,0.00913860835134983,0.10971719771623611
,0.0001,610,,,,,
10,,670,0.4557502567768097,0.0,0.05680094286799431,0.004731673747301102,0.06153261661529541
,0.0001,671,,,,,
11,,731,0.45229557156562805,0.0,0.049213707447052,0.009061971679329872,0.058275677263736725
,0.0001,732,,,,,
12,,792,0.448987752199173,0.0033893983345478773,0.043326765298843384,0.0058608935214579105,0.08308164775371552
,0.0001,793,,,,,
13,,853,0.4459397792816162,0.001789528294466436,0.03830890357494354,0.002770141465589404,0.05897432565689087
,0.0001,854,,,,,
14,,914,0.443028062582016,0.0,0.033603861927986145,0.007661723531782627,0.0412655845284462
,0.0001,915,,,,,
15,,975,0.44037315249443054,0.0,0.029827456921339035,0.006951313931494951,0.0367787703871727
,0.0001,976,,,,,
16,,1036,0.4377824068069458,0.05416868254542351,0.026775306090712547,0.006457140669226646,0.5749192833900452
,0.0001,1037,,,,,
17,,1097,0.4353422522544861,0.0,0.02442311868071556,0.00487142289057374,0.029294541105628014
,0.0001,1098,,,,,
18,,1158,0.43299198150634766,0.0017085253493860364,0.022151630371809006,0.004017835482954979,0.04325471818447113
,0.0001,1159,,,,,
19,,1219,0.4307953417301178,0.0010702793952077627,0.019881509244441986,0.0030930170323699713,0.033677320927381516
,0.0001,1220,,,,,
20,,1280,0.42869263887405396,0.0,0.018064305186271667,0.004100230522453785,0.022164534777402878
,0.0001,1281,,,,,
21,,1341,0.4267241656780243,0.0,0.015779178589582443,0.002924100263044238,0.01870327815413475
,0.0001,1342,,,,,
22,,1402,0.42484259605407715,0.0013514446327462792,0.014495370909571648,0.0022395080886781216,0.030249325558543205
,0.0001,1403,,,,,
23,,1463,0.4230973422527313,0.0013648420572280884,0.013230917975306511,0.0022577892523258924,0.029137127101421356
,0.0001,1464,,,,,
24,,1524,0.4213968515396118,0.0,0.012196704745292664,0.001995659898966551,0.014192365109920502
,0.0001,1525,,,,,
25,,1585,0.41976797580718994,0.0006182295037433505,0.011220559477806091,0.0015273707685992122,0.01893022656440735
,0.0001,1586,,,,,
26,,1646,0.4181939959526062,0.011570624075829983,0.010309665463864803,0.002457995433360338,0.1284739077091217
,0.0001,1647,,,,,
27,,1707,0.41669341921806335,0.0021213653963059187,0.009451653808355331,0.0017845791298896074,0.032449886202812195
,0.0001,1708,,,,,
28,,1768,0.41526371240615845,0.0026268900837749243,0.008896758779883385,0.0018007376929745078,0.03696639835834503
,0.0001,1769,,,,,
29,,1829,0.4138334095478058,0.0,0.008368473500013351,0.0008786408579908311,0.009247113950550556
,0.0001,1830,,,,,
